record_id,country,age,gender,marital,,,child_dependants,healthtype_3,healthtype_2,role,role_other,healthtype,screening_2,jobrole,,experience_1,experience_2,experience_3,experience_4,prevention_1,prevention_2,skills_1,skills_2,belief,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,supplies_1,social_influence_1,social_influence_2,social_influence_3,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3,
131,Uganda,26,Female,Married,,,3,WAKISO DISTRICT,public,Midwife,,maternity,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,agree,strongly agree.,strongly agree.,agree,somewhat agree,strongly agree.,agree,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,strongly disagree,agree,all of the time,most of the time,all of the time,
132,Uganda,52,Female,Married,,,2,Wakiso,public,Midwife,,maternity,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,No,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,most of the time,most of the time,most of the time,
133,Uganda,28,Male,Married,,,1,Kampala,public,Medical doctor,,paediatric,more than one day per week,Fulltime,,Unsure,No,Yes,Unsure,Yes,No,disagree,somewhat disagree,somewhat disagree,strongly disagree,agree,somewhat disagree,agree,strongly disagree,strongly disagree,somewhat disagree,disagree,agree,disagree,agree,somewhat agree,strongly agree.,strongly agree.,strongly agree.,agree,somewhat agree,some of the time,some of the time,at no time,
134,Uganda,45,Female,Married,,,1,Kampala,public,Midwife,,Medical unit,daily,part time,,Yes,No,No,No,Yes,Yes,agree,agree,agree,strongly agree.,strongly agree.,agree,strongly agree.,somewhat disagree,strongly disagree,neither agree nor disagree,somewhat agree,strongly disagree,somewhat agree,strongly agree.,neither agree nor disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,neither agree nor disagree,some of the time,some of the time,more than half of the time,
135,Uganda,55,Male,Married,,,4,Kampala,public,Consultant,,Medical unit,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,somewhat disagree,somewhat disagree,agree,strongly disagree,disagree,strongly agree.,strongly agree.,somewhat disagree,strongly agree.,strongly agree.,agree,strongly agree.,disagree,strongly agree.,agree,strongly agree.,strongly agree.,agree,strongly agree.,neither agree nor disagree,more than half of the time,more than half of the time,more than half of the time,
136,Uganda,48,Female,Married,,,None,Entebbe municipality,public,Allied health professional,0,Laboratory,NA,Fulltime,,No,No,No,No,NA,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,agree,agree,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,disagree,somewhat disagree,all of the time,all of the time,all of the time,
137,Uganda,25,Female,Single (never married),,,None,Bweyogerere,private,Allied health professional,None,Laboratory,daily,Fulltime,,No,No,Unsure,Unsure,Yes,NA,disagree,somewhat agree,agree,somewhat disagree,somewhat agree,agree,strongly agree.,strongly disagree,somewhat agree,strongly disagree,strongly disagree,strongly agree.,somewhat agree,strongly agree.,somewhat agree,strongly disagree,strongly disagree,strongly disagree,strongly agree.,strongly agree.,some of the time,some of the time,more than half of the time,
138,Uganda,36,Male,Married,,,2,Wakiso,public,Medical doctor,,emergency,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,most of the time,most of the time,most of the time,
139,Uganda,29,Female,Single (never married),,,1,Entebbe,public,Administrative,,Laboratory,NA,Fulltime,,No,No,Yes,No,Yes,No,somewhat agree,neither agree nor disagree,somewhat agree,somewhat disagree,agree,somewhat agree,somewhat agree,agree,somewhat agree,strongly disagree,somewhat agree,agree,somewhat agree,agree,somewhat agree,agree,agree,strongly agree.,agree,agree,more than half of the time,more than half of the time,more than half of the time,
140,Uganda,25,Female,Single (never married),,,None,Wakiso,private,Allied health professional,,Laboratory,NA,Fulltime,,No,No,Yes,No,Yes,Yes,agree,agree,strongly agree.,somewhat agree,somewhat disagree,somewhat agree,strongly agree.,agree,agree,strongly disagree,agree,strongly agree.,agree,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,all of the time,most of the time,most of the time,
141,Uganda,29,Female,Married,,,5+,Wakiso,private,Allied health professional,Medical laboratory techinician,Laboratory,daily,Fulltime,,Yes,Yes,Yes,No,Yes,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,neither agree nor disagree,strongly agree.,strongly agree.,at no time,all of the time,all of the time,
142,Uganda,40,Female,Married,,,None,AAR Healthcare Entebbe,private,Administrative,,Other,NA,Fulltime,,Yes,No,Unsure,No,No,No,somewhat agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,disagree,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,NA,strongly agree.,strongly disagree,strongly disagree,strongly disagree,all of the time,all of the time,all of the time,
143,Uganda,25,Female,Married,,,1,Wakiso,private,Allied health professional,Medical sonographer,Medical unit,daily,part time,,Yes,No,Yes,Yes,Yes,No,strongly disagree,agree,disagree,somewhat agree,strongly agree.,disagree,agree,agree,agree,strongly disagree,strongly disagree,strongly agree.,strongly agree.,strongly agree.,agree,agree,agree,somewhat agree,agree,agree,some of the time,some of the time,more than half of the time,
144,Uganda,25,Female,Single (never married),,,Prefer not to say,Entebbe,public,Other,,Laboratory,NA,student,,No,No,No,No,Yes,Yes,somewhat agree,disagree,somewhat disagree,agree,agree,somewhat disagree,strongly agree.,somewhat disagree,somewhat disagree,somewhat disagree,disagree,agree,neither agree nor disagree,agree,somewhat agree,somewhat agree,strongly agree.,somewhat agree,agree,somewhat agree,more than half of the time,more than half of the time,more than half of the time,
145,Uganda,29,Male,Married,,,2,Wakiso,private,Medical doctor,,Medical unit,more than one day per week,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,strongly agree.,neither agree nor disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,agree,strongly agree.,strongly agree.,somewhat agree,strongly agree.,neither agree nor disagree,somewhat disagree,somewhat agree,more than half of the time,some of the time,most of the time,
146,Uganda,24,Female,Single (never married),,,2,Entebbe,public,Allied health professional,,Laboratory,NA,casual or locum staff,,No,No,Yes,No,Yes,No,agree,somewhat agree,strongly agree.,strongly agree.,agree,disagree,agree,strongly agree.,agree,agree,agree,strongly agree.,strongly agree.,agree,agree,agree,agree,agree,agree,agree,all of the time,all of the time,all of the time,
147,Uganda,24,Female,Single (never married),,,2,Entebbe,public,Allied health professional,Laboratory staff,Laboratory,NA,casual or locum staff,,No,No,Yes,No,Yes,No,agree,somewhat agree,strongly agree.,strongly agree.,agree,disagree,agree,strongly agree.,agree,agree,agree,strongly agree.,strongly agree.,agree,agree,agree,agree,agree,agree,agree,all of the time,all of the time,all of the time,
148,Uganda,23,Female,Single (never married),,,1,wakiso,public,Allied health professional,,Laboratory,more than one day per week,Fulltime,,No,No,Yes,No,Yes,Not sure,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,all of the time,all of the time,most of the time,
149,Uganda,22,Female,Single (never married),,,None,Wakiso,private,Allied health professional,,Laboratory,NA,Fulltime,,No,Yes,Yes,No,Yes,Yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,all of the time,all of the time,all of the time,
150,Uganda,25,Male,Living with partner,,,None,Entebbe,public,Other,,Laboratory,NA,part time,,No,No,Yes,No,Yes,NA,strongly agree.,agree,somewhat agree,somewhat agree,strongly agree.,disagree,strongly agree.,strongly agree.,somewhat disagree,agree,strongly disagree,strongly disagree,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly disagree,agree,somewhat agree,less than half of the time,more than half of the time,all of the time,
151,Uganda,40,Female,Married,,,3,ENTEBBE,public,Other,,Laboratory,NA,Fulltime,,No,No,No,No,No,No,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,strongly disagree,strongly agree.,all of the time,all of the time,all of the time,
152,Uganda,27,Male,Single (never married),,,None,Kigungu,public,Social worker/counsellor,,Other,NA,Fulltime,,No,No,No,No,NA,NA,strongly agree.,somewhat agree,disagree,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,somewhat disagree,somewhat disagree,somewhat agree,somewhat agree,strongly agree.,strongly agree.,strongly agree.,somewhat agree,strongly agree.,agree,strongly agree.,agree,most of the time,all of the time,most of the time,
153,Uganda,24,Male,Single (never married),,,None,Entebbe,public,Allied health professional,Laboratory technologist,Laboratory,NA,Fulltime,,No,No,Yes,No,Yes,No,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,somewhat agree,all of the time,all of the time,all of the time,
154,Uganda,30,Male,Single (never married),,,None,WAKISO,private,Other,,Other,NA,other,,No,No,No,No,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,neither agree nor disagree,strongly agree.,strongly agree.,at no time,all of the time,all of the time,
155,Uganda,35,Female,Married,,,2,Wakiso,private,Administrative,,Medical unit,NA,part time,,No,No,Yes,No,Yes,No,disagree,disagree,agree,strongly agree.,strongly agree.,NA,strongly agree.,agree,disagree,disagree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,strongly agree.,some of the time,some of the time,some of the time,
156,Uganda,24,Female,Single (never married),,,NA,Entebbe,public,Allied health professional,Laboratory technician,Laboratory,NA,Fulltime,,No,No,No,No,Yes,No,strongly agree.,strongly agree.,strongly agree.,NA,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly disagree,strongly agree.,all of the time,all of the time,all of the time,
157,Uganda,33,Male,Married,,,3,Wakiso,public,Other,,Laboratory,NA,student,,No,No,Yes,No,Yes,No,somewhat agree,neither agree nor disagree,strongly agree.,somewhat agree,agree,agree,strongly agree.,agree,strongly agree.,neither agree nor disagree,strongly agree.,strongly agree.,neither agree nor disagree,agree,strongly agree.,strongly agree.,strongly agree.,somewhat agree,strongly agree.,agree,all of the time,all of the time,all of the time,
158,Uganda,26,Female,Single (never married),,,None,Entebbe,private,Other,,Medical unit,NA,student,,No,No,Yes,No,Yes,Yes,strongly agree.,disagree,strongly agree.,agree,agree,disagree,agree,agree,agree,neither agree nor disagree,agree,agree,agree,agree,agree,agree,agree,strongly agree.,agree,somewhat agree,all of the time,all of the time,all of the time,
159,Uganda,24,Male,Single (never married),,,5+,Entebbe,private,Other,,Laboratory,NA,Fulltime,,Unsure,No,Yes,No,Yes,No,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,disagree,agree,disagree,some of the time,some of the time,some of the time,
160,Uganda,28,Female,Single (never married),,,3,WAKISO,public,Social worker/counsellor,,Medical unit,daily,Fulltime,,No,No,Yes,No,Yes,No,strongly disagree,agree,agree,disagree,agree,disagree,strongly agree.,somewhat disagree,strongly disagree,strongly disagree,somewhat agree,disagree,agree,agree,agree,agree,agree,agree,agree,disagree,most of the time,all of the time,most of the time,
161,Uganda,46,Male,Married,,,4,Wakiso,public,Allied health professional,Lab technologist ,Laboratory,NA,Fulltime,,No,No,No,Unsure,Yes,Yes,somewhat disagree,agree,somewhat agree,somewhat disagree,somewhat disagree,agree,agree,somewhat agree,somewhat agree,strongly disagree,disagree,strongly agree.,agree,strongly agree.,somewhat agree,agree,agree,strongly agree.,strongly agree.,agree,less than half of the time,all of the time,all of the time,
162,Uganda,22,Female,Single (never married),,,None,Wakiso,public,Other,,Laboratory,NA,student,,No,No,No,No,Yes,No,disagree,strongly agree.,strongly agree.,agree,agree,agree,agree,strongly agree.,strongly agree.,agree,agree,agree,strongly agree.,agree,strongly agree.,strongly agree.,agree,somewhat agree,disagree,disagree,more than half of the time,all of the time,all of the time,
163,Uganda,30,Male,Single (never married),,,None,Wakiso,private,Administrative,,Medical unit,no patient contact,Fulltime,,No,No,Yes,No,Yes,No,somewhat agree,agree,agree,agree,strongly agree.,disagree,strongly agree.,strongly agree.,strongly agree.,agree,somewhat agree,strongly agree.,somewhat agree,agree,agree,agree,agree,somewhat agree,agree,strongly disagree,more than half of the time,most of the time,most of the time,
164,Uganda,31,Female,Living with partner,,,2,Wakiso,private,Allied health professional,,Laboratory,daily,Fulltime,,Yes,No,Yes,Yes,Yes,No,agree,strongly disagree,strongly disagree,neither agree nor disagree,disagree,strongly disagree,strongly disagree,strongly disagree,disagree,disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,disagree,some of the time,all of the time,all of the time,
165,Uganda,34,Male,Married,,,1,entebbe,private,Dentist,,Medical unit,daily,Fulltime,,Unsure,Unsure,Yes,Unsure,Yes,Yes,agree,agree,strongly agree.,somewhat agree,somewhat agree,agree,strongly agree.,strongly agree.,strongly agree.,agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,agree,somewhat disagree,at no time,some of the time,all of the time,
166,Uganda,31,Female,Living with partner,,,2,Wakiso,private,Allied health professional,,Laboratory,daily,Fulltime,,Yes,No,Yes,Yes,Yes,No,agree,strongly disagree,strongly disagree,neither agree nor disagree,disagree,strongly disagree,strongly disagree,strongly disagree,disagree,disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,disagree,some of the time,all of the time,all of the time,
167,Uganda,31,Female,Living with partner,,,2,Wakiso,private,Allied health professional,,Laboratory,daily,Fulltime,,Yes,No,Yes,Yes,Yes,No,agree,strongly disagree,strongly disagree,neither agree nor disagree,disagree,strongly disagree,strongly disagree,strongly disagree,disagree,disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,disagree,some of the time,all of the time,all of the time,
168,Uganda,28,Female,Single (never married),,,None,Wakiso,private,Nurse,,surgical,daily,Fulltime,,No,No,Yes,No,Yes,Yes,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,all of the time,all of the time,all of the time,
169,Uganda,27,Male,Single (never married),,,None,Wakiso,private,Medical doctor,,Medical unit,daily,Fulltime,,Yes,No,Yes,Yes,Yes,Yes,agree,strongly agree.,agree,somewhat agree,agree,neither agree nor disagree,strongly agree.,agree,agree,disagree,somewhat agree,strongly agree.,somewhat agree,strongly agree.,agree,strongly agree.,strongly agree.,disagree,agree,neither agree nor disagree,some of the time,most of the time,most of the time,
170,Uganda,26,Female,Single (never married),,,None,WAKISO,public,Nurse,,maternity,daily,Fulltime,,No,No,No,No,Yes,Yes,agree,agree,strongly agree.,agree,strongly agree.,neither agree nor disagree,strongly agree.,agree,somewhat agree,somewhat agree,neither agree nor disagree,strongly agree.,somewhat agree,strongly agree.,agree,strongly agree.,strongly agree.,agree,agree,somewhat agree,less than half of the time,some of the time,at no time,
171,Uganda,29,Female,Married,,,3,Wakiso,public,Allied health professional,Clinician,Medical unit,daily,Fulltime,,No,No,Yes,No,No,No,strongly disagree,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly disagree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,agree,agree,some of the time,all of the time,all of the time,
172,Uganda,30,Female,Married,,,1,Wakiso,private,Medical doctor,,Medical unit,more than one day per week,Fulltime,,No,No,Yes,No,Yes,No,agree,agree,strongly agree.,agree,agree,disagree,strongly agree.,agree,agree,somewhat agree,agree,strongly agree.,somewhat agree,agree,somewhat agree,strongly agree.,strongly agree.,somewhat agree,strongly agree.,disagree,more than half of the time,more than half of the time,some of the time,
173,Uganda,28,Female,Living with partner,,,1,WAKISO,private,Nurse,,paediatric,NA,Fulltime,,No,No,Yes,No,Yes,Yes,somewhat agree,somewhat agree,agree,neither agree nor disagree,agree,somewhat agree,strongly agree.,agree,somewhat agree,somewhat agree,neither agree nor disagree,agree,somewhat agree,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,agree,agree,more than half of the time,most of the time,most of the time,
174,Uganda,29,Female,Single (never married),,,1,Entebbe,private,Nurse,,Medical unit,daily,Fulltime,,No,No,Yes,Yes,Yes,Yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,NA,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,NA,strongly disagree,strongly disagree,strongly disagree,strongly disagree,most of the time,all of the time,all of the time,
175,Uganda,27,Male,Single (never married),,,None,Wakiso,private,Allied health professional,Lab tech,Laboratory,NA,Fulltime,,Yes,No,Yes,No,Yes,NA,agree,agree,agree,agree,agree,disagree,agree,agree,agree,disagree,strongly disagree,agree,agree,agree,agree,agree,agree,agree,strongly disagree,disagree,all of the time,all of the time,all of the time,
176,Uganda,35,Male,Married,,,5+,Wakiso,public,Consultant,,Laboratory,NA,Fulltime,,Yes,Yes,Yes,No,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,neither agree nor disagree,agree,strongly agree.,somewhat agree,strongly agree.,strongly agree.,neither agree nor disagree,somewhat disagree,disagree,somewhat agree,neither agree nor disagree,most of the time,most of the time,most of the time,
177,Uganda,28,Female,Living with partner,,,1,Wakiso,private,Allied health professional,Lab tech,Laboratory,more than one day per week,part time,,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,somewhat agree,somewhat agree,agree,agree,agree,agree,agree,agree,agree,agree,somewhat agree,somewhat agree,agree,agree,agree,agree,agree,some of the time,some of the time,some of the time,
178,Uganda,36,Male,Married,,,2,Wakiso,public,Nurse,,Medical unit,daily,Fulltime,,No,No,Yes,Yes,Yes,NA,strongly disagree,strongly agree.,strongly disagree,disagree,strongly disagree,disagree,agree,agree,agree,disagree,disagree,agree,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,disagree,disagree,agree,at no time,some of the time,most of the time,
179,Uganda,35,Female,Married,,,2,Entebbe,private,Nurse,,surgical,daily,Fulltime,,No,No,Yes,Yes,Yes,Yes,agree,agree,strongly agree.,agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,strongly agree.,neither agree nor disagree,at no time,most of the time,most of the time,
180,Uganda,27,Female,Single (never married),,,None,Entebbe ,public,Other,,Laboratory,NA,Fulltime,,No,No,Yes,Yes,Yes,No,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly disagree,strongly agree.,strongly agree.,most of the time,all of the time,all of the time,
181,Uganda,25,Female,Single (never married),,,None,Wakiso,private,Midwife,,Medical unit,daily,Fulltime,,No,No,No,No,NA,NA,disagree,agree,agree,strongly agree.,strongly agree.,disagree,agree,agree,agree,disagree,disagree,neither agree nor disagree,agree,agree,agree,strongly agree.,strongly agree.,disagree,agree,agree,some of the time,all of the time,all of the time,
182,Uganda,25,Female,Single (never married),,,None,Wakiso,private,Midwife,,Medical unit,daily,Fulltime,,No,No,No,No,NA,NA,disagree,agree,agree,strongly agree.,strongly agree.,disagree,agree,agree,agree,disagree,disagree,neither agree nor disagree,agree,agree,agree,strongly agree.,strongly agree.,disagree,agree,agree,some of the time,all of the time,all of the time,
183,Uganda,38,Female,Married,,,3,Entebbe,public,Other,,Other,NA,Fulltime,,No,No,No,No,Yes,No,disagree,agree,somewhat agree,disagree,somewhat agree,agree,neither agree nor disagree,strongly disagree,strongly disagree,strongly disagree,agree,agree,somewhat agree,somewhat agree,disagree,agree,agree,strongly agree.,strongly disagree,neither agree nor disagree,less than half of the time,some of the time,at no time,
184,Uganda,23,Male,Single (never married),,,None,Wakiso,private,Allied health professional,Lab technician ,Laboratory,daily,Fulltime,,No,No,No,No,Yes,Yes,strongly agree.,agree,strongly agree.,somewhat agree,strongly agree.,agree,strongly agree.,strongly agree.,agree,strongly disagree,disagree,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,disagree,at no time,some of the time,some of the time,
185,Uganda,44,Male,Married,,,5+,Kyotera,private,Medical doctor,,Medical unit,daily,Fulltime,,No,No,No,No,Yes,Yes,strongly disagree,strongly agree.,strongly agree.,strongly disagree,strongly disagree,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly disagree,strongly disagree,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,all of the time,all of the time,all of the time,
186,Uganda,36,Female,Living with partner,,,2,Entebbe,public,Other,,Laboratory,NA,Fulltime,,No,No,Yes,No,Yes,Yes,agree,agree,agree,agree,strongly agree.,somewhat disagree,strongly agree.,agree,agree,agree,strongly agree.,agree,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,all of the time,all of the time,all of the time,
187,Uganda,23,Female,Living with partner,,,1,WAKISO,private,Administrative,,Other,NA,Fulltime,,No,No,No,No,Yes,NA,disagree,agree,agree,strongly agree.,agree,strongly disagree,agree,agree,agree,strongly disagree,somewhat disagree,agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,agree,at no time,less than half of the time,all of the time,
188,Uganda,40,Female,Married,,,3,Kampala ,private,Nurse,,Other,NA,Fulltime,,No,No,No,No,Not sure,Not sure,agree,agree,agree,agree,agree,agree,agree,somewhat disagree,somewhat disagree,disagree,disagree,agree,disagree,agree,agree,agree,agree,agree,agree,disagree,some of the time,some of the time,some of the time,
189,Uganda,46,Female,Married,,,2,Wakiso,public,Social worker/counsellor,,Other,daily,Fulltime,,No,No,NA,No,No,No,agree,agree,agree,agree,somewhat agree,agree,agree,somewhat agree,disagree,disagree,agree,agree,agree,agree,somewhat agree,agree,somewhat agree,agree,agree,somewhat agree,some of the time,some of the time,some of the time,
190,Uganda,46,Female,Married,,,2,Wakiso,public,Social worker/counsellor,,Other,daily,Fulltime,,No,No,NA,No,No,No,agree,agree,agree,agree,somewhat agree,agree,agree,somewhat agree,disagree,disagree,agree,agree,agree,agree,somewhat agree,agree,somewhat agree,agree,agree,somewhat agree,some of the time,some of the time,some of the time,
191,Uganda,29,Male,Married,,,1,Wakiso,private,Allied health professional,Medical laboratory assistant,Laboratory,daily,Fulltime,,Unsure,Unsure,Unsure,Unsure,Yes,Yes,somewhat disagree,somewhat disagree,strongly disagree,strongly disagree,strongly agree.,disagree,strongly disagree,disagree,disagree,disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,most of the time,all of the time,all of the time,
192,Uganda,24,Male,Single (never married),,,1,Wakiso,private,Allied health professional,,Laboratory,daily,Fulltime,,Unsure,No,Yes,No,Yes,No,strongly agree.,strongly agree.,strongly agree.,agree,neither agree nor disagree,agree,strongly agree.,somewhat agree,somewhat agree,disagree,neither agree nor disagree,somewhat agree,agree,agree,agree,neither agree nor disagree,strongly agree.,strongly disagree,agree,somewhat disagree,all of the time,all of the time,most of the time,
193,Uganda,24,Male,Single (never married),,,None,Entebbe,public,Allied health professional,Dispenser,Medical unit,daily,Fulltime,,No,No,Yes,No,Yes,No,agree,somewhat agree,agree,somewhat agree,somewhat agree,somewhat agree,agree,somewhat agree,somewhat disagree,strongly disagree,disagree,somewhat agree,agree,strongly agree.,somewhat agree,somewhat disagree,strongly disagree,disagree,strongly agree.,disagree,less than half of the time,all of the time,most of the time,
194,Uganda,21,Female,Single (never married),,,3,Entebbe ,public,Other,,Medical unit,daily,student,,Unsure,Unsure,Yes,No,Yes,No,somewhat disagree,somewhat disagree,somewhat disagree,strongly disagree,strongly agree.,agree,strongly agree.,strongly agree.,strongly disagree,strongly disagree,strongly disagree,strongly disagree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,at no time,most of the time,all of the time,
195,Uganda,41,Female,Married,,,4,Wakiso,public,Administrative,,Medical unit,daily,Fulltime,,No,No,No,No,Yes,Yes,agree,agree,strongly agree.,strongly agree.,strongly agree.,agree,agree,strongly agree.,strongly agree.,NA,agree,agree,NA,agree,agree,agree,agree,disagree,agree,agree,all of the time,all of the time,all of the time,
196,Uganda,26,Female,Single (never married),,,None,wakiso,private,Other,,Laboratory,NA,Fulltime,,No,No,No,No,No,No,somewhat disagree,neither agree nor disagree,somewhat agree,somewhat disagree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,strongly disagree,all of the time,more than half of the time,all of the time,
197,Uganda,NA,NA,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
198,Uganda,48,Female,Married,,,4,Katabi military hospital ,public,Allied health professional,Clinical Officer,Medical unit,daily,Fulltime,,Yes,Yes,Yes,No,Yes,No,somewhat agree,somewhat agree,agree,strongly disagree,somewhat agree,disagree,agree,strongly agree.,strongly disagree,strongly disagree,somewhat agree,agree,agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly disagree,at no time,most of the time,at no time,
199,Uganda,23,Male,Single (never married),,,None,Entebbe,private,Allied health professional,None,Laboratory,daily,Fulltime,,No,No,No,No,Yes,Yes,neither agree nor disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,disagree,strongly disagree,neither agree nor disagree,strongly disagree,strongly disagree,neither agree nor disagree,disagree,disagree,strongly disagree,strongly disagree,less than half of the time,all of the time,all of the time,
