id,country,d_age_i,d_gender,d_marital_c_u,d_edu_c_o,,d_chdn_i,d_region_c_o,d_hosp_c_u,d_job_role_c_u,d_work_unit_c_u,other_prof,d_contact_freq_i,d_job_type_c_u,d_training_years_i,e_ever_worked_c_u,e_ever_cared_c_u,e_ever_contact_c_u,e_do_care_c_o,s_can_manage_c_o,s_cont_mge_c_o,s_ipc_skill_c_o,s_received_training,s_can_don_c_o,s_can_followc_o,s_can_protect_c_0,s_is_proected,s_is_straining_c_o,s_will_use_c_o,s_proto_exists_c_o,s_can_access_ppe_c_o,s_has_iso_fac,s_know_cont_c_o,s_get_supp_c_o,s_coll_follow_c_o,s_expected_i_fllw_c_o,s_enco_supp_c_o,s_risk_concd_c_o,s_fam_concd_c_o,s_is_afraid_c_o,s_accept_c_o,s_my_ctrl_c_o,b_manage,b_honest_manage,b_dir_interest
,Cameroon,54,Female,Living with another (Married - Partnership),Post-Secondary School/SSS/SHS Certificate,,1,Douala,Lucrative private health Facility,Health Assistants,Other,,Almost every day of the month,Long-Term Contract (>12mths),11 to 15 years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree
,Cameroon,35,Male,Living with another (Married - Partnership),Post-Secondary School/SSS/SHS Certificate,,2,Douala,Lucrative private health Facility,Health Assistants,Medical Unit,,Almost every day of the month,Fulltime,6 to 10 years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
,Cameroon,28,Female,Living alone,First University Degree,,2,Douala,Lucrative private health Facility,Nurse,Medical Unit,,Almost every day of the month,Voluntary,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree
,Cameroon,51,Male,Living with another (Married - Partnership),Masters,,4,Douala,Lucrative private health Facility,Medical Doctor,Medical Unit,,Almost every day of the month,Fulltime,11 to 15 years,Yes,Yes,Yes,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree
,Cameroon,44,Female,Living with another (Married - Partnership),Post-Secondary School/SSS/SHS Certificate,,3,Douala,Lucrative private health Facility,Nurse,Medical Unit,,Almost every day of the month,Fulltime,6 to 10 years,Yes,No,Unsure,No,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree
,Cameroon,32,Female,Living alone,Post-Secondary School/SSS/SHS Certificate,,1,Douala,Lucrative private health Facility,Pharmacist,Other,,No more than three days during each week,Fulltime,2 to 5  years,Yes,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree
,Cameroon,27,Female,Living alone,High School Diploma,,1,Douala,Lucrative private health Facility,Nurse,Emergency,,Almost every day of the month,Fulltime,2 to 5  years,No,No,No,No,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree
,Cameroon,34,Male,Living alone,Masters,,3,Douala,Lucrative private health Facility,Physician Assistant,Outpatient department,,Almost every day of the month,Fulltime,2 to 5  years,Yes,Yes,Unsure,Unsure,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree
,Cameroon,53,Male,Living with another (Married - Partnership),Post-Secondary School/SSS/SHS Certificate,,5,Douala,Lucrative private health Facility,Pharmacist,Other,,No more than three days during each week,Fulltime,More than 15 years,No,No,No,No,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree
,Cameroon,35,Female,Prefer not to say,Masters,,2,Douala,Lucrative private health Facility,Nurse,Infectious Disease Ward,,Almost every day of the month,Fulltime,2 to 5  years,Yes,Unsure,Unsure,Unsure,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree
,Cameroon,28,Female,Living alone,High School Diploma,,1,Douala,Lucrative private health Facility,Midwife,Maternity,,No more than three days during each week,Fulltime,2 to 5  years,Yes,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree
,Cameroon,25,Male,Prefer not to say,Post-Secondary School/SSS/SHS Certificate,,2,Douala,Lucrative private health Facility,Nurse,Medical Unit,,Almost every day of the month,Fulltime,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree
,Cameroon,64,Female,Living with another (Married - Partnership),Post-Secondary School/SSS/SHS Certificate,,More than 5,Yaounde,Unlucrative private Health facility,Nurse,Medical Unit,,Almost every day of the month,Long-Term Contract (>12mths),More than 15 years,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
,Cameroon,65,Male,Living with another (Married - Partnership),First University Degree,,More than 5,Yaounde,Unlucrative private Health facility,Nurse,Medical Unit,,Almost every day of the month,Long-Term Contract (>12mths),More than 15 years,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
,Cameroon,32,Female,Prefer not to say,Post-Secondary School/SSS/SHS Certificate,,3,Yaounde,Unlucrative private Health facility,Nurse Assistant Clinical,Medical Unit,,Almost every day of the month,Prefer not to say,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
,Cameroon,26,Female,Prefer not to say,Post-Secondary School/SSS/SHS Certificate,,1,Yaounde,Unlucrative private Health facility,Nurse Assistant Preventive,Medical Unit,,Almost every day of the month,Prefer not to say,< 1 year,No,No,No,No,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
,Cameroon,30,Female,Prefer not to say,Post-Secondary School/SSS/SHS Certificate,,1,Yaounde,Unlucrative private Health facility,Nurse Assistant Clinical,Infectious Disease Ward,,Almost every day of the month,Prefer not to say,2 to 5  years,No,No,No,No,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
,Cameroon,30,Female,Living with another (Married - Partnership),High School Diploma,,4,Yaounde,Lucrative private health Facility,Midwife,Medical Unit,,Almost every day of the month,Fulltime,6 to 10 years,No,No,No,No,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
,Cameroon,45,Male,Living with another (Married - Partnership),High School Diploma,,More than 5,Yaounde,Unlucrative private Health facility,Health Assistants,Medical Unit,,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
,Cameroon,26,Female,Living alone,High School Diploma,,2,Yaounde,Unlucrative private Health facility,Nurse,Medical Unit,,Almost every day of the month,Short-term contract (< 13mths),2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree
,Cameroon,33,Female,Living with another (Married - Partnership),Other,,5,Yaounde,Lucrative private health Facility,Nurse,Medical Unit,,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree
,Cameroon,26,Female,Living with another (Married - Partnership),First University Degree,,1,Yaounde,Lucrative private health Facility,Nurse,Disease Control,,Never,Fulltime,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree
,Cameroon,38,Female,Living with another (Married - Partnership),Masters,,3,Yaounde,Lucrative private health Facility,Allied health professionals,Pediatric,,Never,Part time,6 to 10 years,Yes,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree
,Cameroon,35,Male,Living with another (Married - Partnership),High School Diploma,,3,Yaounde,Lucrative private health Facility,Pharmacist,Medical Unit,,Never,Long-Term Contract (>12mths),2 to 5  years,No,No,No,No,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree
,Cameroon,36,Male,Living with another (Married - Partnership),High School Diploma,,3,Yaounde,Lucrative private health Facility,Allied health professionals,Emergency,,Never,Long-Term Contract (>12mths),< 1 year,Yes,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree
,Cameroon,36,Male,Living with another (Married - Partnership),Other,,2,Yaounde,Lucrative private health Facility,Non clinical,Other,,Never,Long-Term Contract (>12mths),< 1 year,No,No,No,No,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree
,Cameroon,32,Female,Living with another (Married - Partnership),High School Diploma,,1,Yaounde,Lucrative private health Facility,Nurse,Maternity,,Never,Fulltime,2 to 5  years,Yes,No,No,No,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree
,Cameroon,23,Female,Living alone,First University Degree,,1,Yaounde,Lucrative private health Facility,Physician Assistant,Emergency,,Never,Fulltime,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree
,Cameroon,24,Female,Living alone,Post-Secondary School/SSS/SHS Certificate,,1,Yaounde,Lucrative private health Facility,Nurse,Matches the job that you do Surgical Unit,,Never,Fulltime,2 to 5  years,Yes,Yes,Yes,No,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree
,Cameroon,38,Female,Living with another (Married - Partnership),High School Diploma,,4,Yaounde,Lucrative private health Facility,Nurse,Medical Unit,,Almost every day of the month,Fulltime,11 to 15 years,No,No,No,No,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
,Cameroon,31,Female,Living alone,First University Degree,,5,Yaounde,Lucrative private health Facility,Allied health professionals,Other,,Almost every day of the month,Short-term contract (< 13mths),2 to 5  years,No,No,No,No,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
,Cameroon,43,Female,Living with another (Married - Partnership),Post-Secondary School/SSS/SHS Certificate,,2,Yaounde,Lucrative private health Facility,Allied health professionals,Medical Unit,,No more than three days during each week,Long-Term Contract (>12mths),11 to 15 years,Unsure,No,Yes,No,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree
,Cameroon,33,Male,Living alone,Post-Secondary School/SSS/SHS Certificate,,4,Yaounde,Lucrative private health Facility,Nurse,Medical Unit,,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,No,Yes,No,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree
,Cameroon,45,Female,Separated/ Divorced/ Widowed,Post-Secondary School/SSS/SHS Certificate,,3,Yaounde,Lucrative private health Facility,Nurse,Medical Unit,,Almost every day of the month,Fulltime,11 to 15 years,Yes,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree
,Cameroon,28,Male,Living alone,First University Degree,,More than 5,Yaounde,Lucrative private health Facility,Allied health professionals,Other,,No more than three days during each week,Long-Term Contract (>12mths),2 to 5  years,Yes,No,No,No,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree
,Cameroon,37,Female,Living with another (Married - Partnership),First University Degree,,3,Yaounde,Lucrative private health Facility,Nurse,Medical Unit,,No more than three days during each week,Long-Term Contract (>12mths),6 to 10 years,No,No,Yes,Unsure,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree
,Cameroon,23,Male,Living alone,Masters,,1,Yaounde,Unlucrative private Health facility,Medical Doctor,Medical Unit,,No more than three days during each week,Voluntary,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree
,Cameroon,27,Male,Living alone,Masters,,1,Yaounde,Unlucrative private Health facility,Physician Assistant,Medical Unit,,No more than three days during each week,Casual or locum staff,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree
,Cameroon,23,Female,Prefer not to say,High School Diploma,,1,Yaounde,Denomitional Health Facility,Allied health professionals,Other,,Almost every day of the month,Casual or locum staff,< 1 year,No,No,Yes,No,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree
,Cameroon,23,Male,Living alone,Post-Secondary School/SSS/SHS Certificate,,2,Yaounde,Denomitional Health Facility,Non clinical,Other,,Almost every day of the month,Fulltime,NA,No,No,Unsure,Unsure,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,,,,,,Strongly disagree,Strongly agree,Strongly agree
,Cameroon,26,Male,Living alone,Masters,,1,Douala,Lucrative private health Facility,Medical Doctor,Medical Unit,,Almost every day of the month,Long-Term Contract (>12mths),< 1 year,No,Yes,Yes,Yes,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree
,Cameroon,34,Female,Living with another (Married - Partnership),First University Degree,,4,Douala,Lucrative private health Facility,Nurse,Medical Unit,,No more than three days during each week,Long-Term Contract (>12mths),2 to 5  years,No,Yes,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree
,Cameroon,65,Female,Separated/ Divorced/ Widowed,Post-Secondary School/SSS/SHS Certificate,,More than 5,Douala,Lucrative private health Facility,Midwife,Maternity,,Almost every day of the month,Long-Term Contract (>12mths),More than 15 years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree
,Cameroon,38,Female,Living with another (Married - Partnership),Post-Secondary School/SSS/SHS Certificate,,1,Douala,Lucrative private health Facility,Nurse,Other,,Almost every day of the month,Short-term contract (< 13mths),NA,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,,Strongly disagree,Somewhat agree,Somewhat agree
