Record ID,Age,Kindly indicate your gender,What is your current marital status?,Educational level completed,Kindly Specify,Number of child dependents in the household below 18 years,Which region do you work in?,What type of facility are you primarily stationed at?,What is your current job role?,Select the unit within the hospital that most closely matches the job that you do,Kindly indicate the professional group you belong to,How many days in the previous month did you have any direct patient contact (touching or speaking in-person)?,What is your current engagement type with the hospital?,For how many years have you been seeing patients as a professional?,"Have you previously worked in a clinical setting during an acute respiratory epidemic or pandemic, for example, H1N1 (2009)?","In a clinical setting, did you personally care for patients with suspected or confirmed infection caused by a novel respiratory pathogen for example, H1N1?",Has a patient with suspected or confirmed COVID-19 attended the hospital in which you work?,Have you personally cared for a patient with suspected or confirmed COVID-19 infection? ,What was your most recent type of contact with a suspected/confirmed COVID-19 case?,I am confident that the hospital where I work can MANAGE CURRENT patient demand related to COVID-19,I am confident that the hospital where I work can CONTINUE TO MANAGE patient demand related to COVID-19 over the next 3 months,"I have received general training for infection, prevention, and control procedures for communicable diseases",I have received sufficient training in the Infection Prevention and Control (IPC)  practices specifically for COVID-19,I am confident in my ability to correctly don and doff personal protective equipment to prevent transmission of COVID-19 to others and myself,"I am confident that I am able to follow recommended procedures related to personal protective equipment (PPE) for COVID-19 e.g. appropriate use and disposal of gloves, apron and fluid resistant surgical mask",I consider that the implementation of protective procedures at work are effective to prevent the spread of COVID-19 in my hospital,Following the IPC recommendations will protect me from becoming ill with COVID-19,Following recommended IPC procedures adds significant additional strain to my workload,"I will always use the recommended personal protective equipment (medical mask, eye protection, gown and gloves) when taking care of patients with suspected or confirmed COVID-19 when I have access to these",There are clear policies and protocols in my hospital for everyone to follow related to IPC procedures for COVID-19,"I can easily access personal protective equipment (PPE) in line with standard infection control precautions, such as gloves, apron and masks, for COVID-19 in the hospital where I work",In my hospital there are dedicated isolation facilities for patients with COVID-19,"I know who to contact if I have trouble with PPE, or if I have a body fluid exposure/ unprotected contact with a confirmed case of COVID-19","The hospital where I work receives good support from national/ regional/municipal/district/assembly/local public health authorities, who provide guidance and training on how to manage COVID-19","Most of my colleagues regularly follow infection, prevention and control measures (for example, regular hand washing, use of personal protective equipment, proper disposal of equipment)","It is expected that in my role as a healthcare professional, I will follow IPC measures",I am encouraged and supported by other staff to apply recommendedIPC measures,I am concerned about the risk to myself of becoming ill with COVID-19,I am concerned about the risk to my family related to COVID-19 because of my job role,I am afraid of looking after patients who are ill with COVID-19,I accept that the risk of getting COVID-19 is part of my job,Whether I get infected with COVID-19 or not is within my control,The health facility where I work has the capacity to manage COVID-19,The management of the health facility where I work are being honest with staff when managing COVID-19,The management of the health facility where I work would act in the best interest of its staff when managing COVID-19
1347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,40,Female,"Living with another (Married, Partnership)",First Degree,,3,GREATER ACCRA,Private Hospital,Nurse,Emergency,,No more than three days during each week,Fulltime,18,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somwhat agree,Strongly disagree,Somwhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree
1351,33,Female,"Living with another (Married, Partnership)",Masters,,4,GREATER ACCRA,District hospital,Medical Doctor,OPD,,Almost every day of the month,Long-Term Contract (>12mths),1,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Strongly disagree,Strongly disagree,Somwhat agree,Somwhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree
1352,25,,"Living with another (Married, Partnership)",Diploma,,1,ASHANTI,CHAG Facility,Allied health professionals,Laboratory,Laboratory technician,Almost every day of the month,Fulltime,2,No,No,Yes,Unsure,,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somwhat agree,,,Strongly agree,,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree
1353,35,Male,"Living with another (Married, Partnership)",Masters,,2,WESTERN,Private Hospital,Allied health professionals,Laboratory,Medical laboratory scientist,No more than three days during each week,Fulltime,8,Yes,Yes,No,No,,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree
1354,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1355,27,Female,Living alone,Diploma,,0,ASHANTI,CHAG Facility,Nurse,Emergency,,Almost every day of the month,Voluntary,2,Unsure,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somwhat agree,Somewhat disagree,Somwhat agree
1356,42,,"Living with another (Married, Partnership)",,,1,AHAFO,District hospital,Nurse Assistant Clinical,Infectious Disease Ward,,No more than three days during each week,Fulltime,5,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree
1357,50,Male,"Living with another (Married, Partnership)",First Degree,,3,BONO,CHAG Facility,Pharmacist,Pharmacy,,Almost every day of the month,Fulltime,18,Yes,No,No,No,,Somwhat agree,Somwhat agree,Somwhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somwhat agree,Strongly disagree,Somwhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
1358,30,Male,"Living with another (Married, Partnership)",First Degree,,1,GREATER ACCRA,Private Hospital,Allied health professionals,Nutrition/Dietetics,Academy of Nutrition and Dietetics,No more than three days during each week,Long-Term Contract (>12mths),5,No,No,Yes,No,,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree
1359,30,,"Living with another (Married, Partnership)",Other,,1,AHAFO,District hospital,Allied health professionals,Medical Unit,Opticians ,No more than three days during each week,Fulltime,5,No,No,Yes,No,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somwhat agree,Strongly agree
1361,26,Male,Living alone,First Degree,,0,GREATER ACCRA,Private Hospital,Pharmacist,Pharmacy,,Almost every day of the month,Prefer not to say,3,No,Yes,Yes,Yes,Unsure,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Somwhat agree
1362,41,Male,"Living with another (Married, Partnership)",First Degree,,3,ASHANTI,Health Center (Government),Allied health professionals,Disease Control,Health promotion,Almost every day of the month,Fulltime,3,Yes,No,Yes,No,,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree
1363,65,,"Living with another (Married, Partnership)",Middle School,,3,CENTRAL,Private Hospital,Physician Assistant,Medical Unit,,Almost every day of the month,Fulltime,40,Yes,Unsure,Yes,No,,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree
1364,39,Male,"Living with another (Married, Partnership)",First Degree,,3,ASHANTI,Teaching hospital,Allied health professionals,Imaging Unit,Diagnostics,Almost every day of the month,Fulltime,11,No,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree
1365,39,Male,"Living with another (Married, Partnership)",First Degree,,3,ASHANTI,Teaching hospital,Allied health professionals,Imaging Unit,Diagnostics,Almost every day of the month,Fulltime,11,No,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
1366,27,Female,Living alone,Diploma,,1,AHAFO,District hospital,Nurse,Infectious Disease Ward,,Almost every day of the month,Fulltime,2,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
1367,27,Female,Living alone,First Degree,,2,GREATER ACCRA,Private Clinic,Pharmacist,Pharmacy,,No more than three days during each week,Part time,3,No,No,Yes,No,,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
1368,29,,Living alone,Other,,0,AHAFO,District hospital,Nurse Assistant Clinical,Emergency,,Almost every day of the month,Fulltime,1,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree
1369,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,34,,"Living with another (Married, Partnership)",Masters,,2,GREATER ACCRA,Private Hospital,Pharmacist,Pharmacy,,About one day every 2 weeks,Fulltime,10,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree
1371,25,Male,Living alone,First Degree,,0,CENTRAL,Teaching hospital,Pharmacist,Pharmacy,,Almost every day of the month,Fulltime,1,No,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Strongly agree,Somwhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
1372,32,Female,"Living with another (Married, Partnership)",First Degree,,1,ASHANTI,Private Hospital,Pharmacist,Pharmacy,,No more than three days during each week,Fulltime,10,No,No,No,No,,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly disagree,Somwhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
1373,24,Male,Living alone,First Degree,,0,NORTHERN,Teaching hospital,Pharmacist,Surgical Unit,,Almost every day of the month,Short-term contract (<13mths),1,No,No,Yes,No,,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
1374,29,Male,Living alone,First Degree,,0,GREATER ACCRA,Private Hospital,Pharmacist,Pharmacy,,No more than three days during each week,Prefer not to say,1,No,Unsure,Yes,No,,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Strongly disagree,Somwhat agree,Somwhat agree,Somwhat agree
1375,27,Male,Living alone,First Degree,,0,ASHANTI,Academic (University) hospital,Pharmacist,Pharmacy,,Almost every day of the month,Short-term contract (<13mths),1,No,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Strongly agree,Somwhat agree,Somwhat agree,Strongly disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree
1376,27,Male,"Living with another (Married, Partnership)",Masters,,2,ASHANTI,Teaching hospital,Pharmacist,Pharmacy,,Almost every day of the month,Short-term contract (<13mths),1,No,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
1377,26,,Living alone,First Degree,,0,ASHANTI,Academic (University) hospital,Pharmacist,Pharmacy,,Almost every day of the month,Fulltime,40,No,Yes,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly disagree,Neither agree nor disagree,Somwhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree
1378,35,,"Living with another (Married, Partnership)",First Degree,,5,NORTHERN,Teaching hospital,Pharmacist,Pharmacy,,Almost every day of the month,Long-Term Contract (>12mths),10,No,Yes,Yes,No,,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree
1379,27,Male,Living alone,First Degree,,0,GREATER ACCRA,Private Hospital,Pharmacist,Pharmacy,,Almost every day of the month,Casual or locum staff,2,No,No,No,No,,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
1380,30,Male,Living alone,First Degree,,0,BONO,Private Clinic,Pharmacist,Pharmacy,,Almost every day of the month,Long-Term Contract (>12mths),6,No,No,Unsure,No,,Strongly disagree,Strongly disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somwhat agree,Somwhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somewhat disagree,Somwhat agree,Somewhat disagree,Strongly disagree,Somwhat agree,Somwhat agree
1381,25,Male,Living alone,First Degree,,0,ASHANTI,Academic (University) hospital,Pharmacist,Medical Unit,,Almost every day of the month,Short-term contract (<13mths),1,Yes,No,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree
1382,40,Female,Prefer not to say,Ph.D./DrPH,,4,CENTRAL,Teaching hospital,Pharmacist,Pharmacy,,Almost every day of the month,Fulltime,14,Yes,No,Yes,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
1383,27,Male,Living alone,Masters,,0,CENTRAL,Academic (University) hospital,Medical Doctor,Medical Unit,,Almost every day of the month,Short-term contract (<13mths),1,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Strongly disagree,Somwhat agree,Somwhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly disagree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree
1384,29,Male,Living alone,First Degree,,0,GREATER ACCRA,Private Clinic,Pharmacist,Pharmacy,,Almost every day of the month,Fulltime,2,No,No,Yes,No,,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Strongly agree
1385,40,Male,"Living with another (Married, Partnership)",First Degree,,0,CENTRAL,District hospital,Pharmacist,OPD,,Almost every day of the month,Casual or locum staff,10,No,No,No,No,,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly disagree,,Strongly agree,Strongly agree
1386,29,,Living alone,First Degree,,0,GREATER ACCRA,Private Clinic,Pharmacist,Pharmacy,,Almost every day of the month,Fulltime,5,No,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somewhat disagree,Somewhat disagree
1387,25,,"Living with another (Married, Partnership)",Diploma,,0,ASHANTI,CHAG Facility,Midwife,Obstetrics and Gynecology/ Maternity,,,,,No,No,No,No,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,,,,Strongly agree,,,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,
1388,39,Female,"Living with another (Married, Partnership)",Masters,,3,GREATER ACCRA,District hospital,Pharmacist,Pharmacy,,Just about one day during each week,Fulltime,10,Yes,No,Yes,No,,Somwhat agree,Strongly disagree,Strongly agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somewhat disagree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree
1389,43,,"Living with another (Married, Partnership)",First Degree,,3,OTI,District hospital,Pharmacist,Pharmacy,,Just about one day during each week,Fulltime,6,Yes,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree
1390,43,Male,"Living with another (Married, Partnership)",First Degree,,3,OTI,District hospital,Pharmacist,Pharmacy,,Just about one day during each week,Fulltime,6,Yes,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree
1391,34,Male,"Living with another (Married, Partnership)",First Degree,,3,EASTERN,CHAG Facility,Pharmacist,Pharmacy,,Almost every day of the month,Fulltime,12,Yes,No,Yes,No,,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree
1392,25,Male,Living alone,First Degree,,0,NORTHERN,Teaching hospital,Pharmacist,Emergency,,Almost every day of the month,Short-term contract (<13mths),1,Yes,No,Yes,No,,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
