record_id,age,gender,role,role_other,healthtype,healthtype_2,healthtype_3,screening,screening_2,jobrole,marital,child_dependants,adult_dependants,experience_1,experience_2,experience_3,experience_4,prevention_1,prevention_2,skills_1,skills_2,belief,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,supplies_1,social_influence_1,social_influence_2,social_influence_3,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3,
251,43,Female,Midwife,,maternity,public,Wakiso ,Yes,daily,Fulltime,Living with partner,4,Yes,No,No,No,No,NA,Yes,agree,agree,strongly agree.,somewhat agree,somewhat disagree,neither agree nor disagree,somewhat disagree,agree,disagree,strongly disagree,somewhat agree,agree,agree,strongly agree.,agree,agree,agree,strongly agree.,strongly disagree,somewhat disagree,more than half of the time,all of the time,all of the time,
252,37,Female,Nurse,,Medical unit,private,Wakiso,Yes,daily,Fulltime,Married,4,Yes,No,No,Unsure,No,Yes,No,strongly disagree,strongly disagree,agree,agree,agree,disagree,agree,agree,disagree,strongly disagree,strongly disagree,disagree,strongly agree.,agree,agree,strongly agree.,strongly agree.,disagree,agree,disagree,at no time,all of the time,all of the time,
253,38,Female,Nurse,,Medical unit,public,Wakiso,Yes,daily,Fulltime,Married,3,no,Yes,No,Yes,Yes,Yes,Yes,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,most of the time,all of the time,all of the time,
254,24,Female,Nurse,,emergency,public,Wakiso,Yes,daily,Fulltime,Single (never married),None,Yes,No,No,No,No,Yes,Yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree.,strongly disagree,strongly disagree,strongly disagree,strongly disagree,agree,strongly agree.,strongly agree.,agree,agree,agree,disagree,NA,NA,at no time,at no time,at no time,
255,45,Female,Consultant,,Medical unit,public,Wakis0,Yes,daily,Fulltime,Single (never married),1,Yes,Yes,Yes,Yes,Yes,Yes,No,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,all of the time,all of the time,all of the time,
256,26,Female,Midwife,,Other,public,Wakiso,Yes,daily,Fulltime,Married,None,Yes,No,No,No,No,Yes,No,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,most of the time,at no time,at no time,
257,37,Male,Nurse,,maternity,public,Wakiso,Yes,more than one day per week,Fulltime,Married,2,no,Yes,Yes,Yes,No,Yes,Yes,agree,agree,strongly agree.,agree,strongly agree.,agree,agree,strongly agree.,agree,strongly agree.,strongly agree.,agree,strongly agree.,agree,strongly agree.,somewhat agree,strongly agree.,somewhat disagree,strongly agree.,agree,at no time,some of the time,some of the time,
258,32,Male,Medical doctor,,Medical unit,private,Wakiso,Yes,daily,Fulltime,Living with partner,3,Yes,No,No,Yes,Yes,Yes,Yes,somewhat agree,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,disagree,strongly disagree,disagree,strongly agree.,agree,strongly disagree,strongly disagree,somewhat agree,somewhat agree,strongly disagree,somewhat agree,agree,at no time,more than half of the time,most of the time,
259,32,Male,Medical doctor,,Medical unit,private,Wakiso,Yes,daily,Fulltime,Living with partner,3,Yes,No,No,Yes,Yes,Yes,Yes,somewhat agree,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,disagree,strongly disagree,disagree,strongly agree.,agree,strongly disagree,strongly disagree,somewhat agree,somewhat agree,strongly disagree,somewhat agree,agree,at no time,more than half of the time,most of the time,
260,28,NA,Medical doctor,,emergency,private,Kisubi,Yes,daily,Fulltime,Single (never married),1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,neither agree nor disagree,somewhat agree,somewhat agree,somewhat disagree,neither agree nor disagree,agree,strongly agree.,somewhat agree,disagree,agree,neither agree nor disagree,strongly agree.,neither agree nor disagree,strongly agree.,somewhat agree,agree,agree,disagree,agree,disagree,less than half of the time,at no time,some of the time,
261,25,Male,Allied health professional,Laboratory technician,Laboratory,private,Kisubi,Yes,daily,Fulltime,Living with partner,5+,Yes,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,disagree,some of the time,some of the time,some of the time,
262,25,Male,Allied health professional,,Laboratory,private,Kisubi,Yes,daily,Fulltime,Living with partner,5+,Yes,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,disagree,some of the time,some of the time,some of the time,
263,28,Female,Allied health professional,,Laboratory,private,Kisubi,Yes,daily,Fulltime,Living with partner,5+,Yes,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,agree,somewhat agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,disagree,some of the time,some of the time,some of the time,
264,32,Male,Allied health professional,Ophthalmology clinician,Medical unit,private,Wakiso,Yes,daily,Fulltime,Single (never married),NA,no,Yes,No,Yes,No,Yes,Yes,disagree,disagree,somewhat agree,somewhat disagree,agree,disagree,agree,agree,agree,somewhat agree,somewhat agree,agree,somewhat agree,agree,agree,agree,agree,somewhat disagree,agree,somewhat disagree,some of the time,some of the time,some of the time,
265,32,Male,Allied health professional,,Medical unit,private,Wakiso,Yes,daily,Fulltime,Single (never married),NA,no,Yes,No,Yes,No,Yes,Yes,disagree,disagree,somewhat agree,somewhat disagree,agree,disagree,agree,agree,agree,somewhat agree,somewhat agree,agree,somewhat agree,agree,agree,agree,agree,somewhat disagree,agree,somewhat disagree,some of the time,some of the time,some of the time,
266,22,Female,Midwife,,Other,private,Wakiso,Not sure,NA,part time,Living with partner,None,Yes,No,No,No,No,Yes,Yes,somewhat disagree,disagree,disagree,strongly disagree,disagree,strongly disagree,disagree,strongly disagree,NA,disagree,NA,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,strongly disagree,most of the time,more than half of the time,less than half of the time,
267,32,Female,Nurse,,maternity,private,Kisubi,Yes,daily,Fulltime,Living with partner,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,most of the time,most of the time,most of the time,
268,25,Female,Nurse,,maternity,private,Kisubi,Yes,daily,Fulltime,Living with partner,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,somewhat agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,most of the time,most of the time,most of the time,
269,40,Female,Administrative,,Other,private,WAKISO,Yes,daily,Fulltime,Living with partner,4,Yes,No,No,Yes,No,Yes,Not sure,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,agree,agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,agree,strongly agree.,all of the time,all of the time,all of the time,
270,23,Female,Midwife,,maternity,private,Wakiso,Yes,daily,Fulltime,Single (never married),None,no,No,Yes,Yes,No,Yes,No,strongly agree.,strongly agree.,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,agree,somewhat agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,NA,agree,agree,somewhat agree,all of the time,all of the time,all of the time,
271,24,Female,Midwife,,maternity,private,Wakiso,Yes,daily,Fulltime,Married,2,no,Unsure,No,Yes,No,Yes,Yes,disagree,somewhat agree,agree,agree,agree,agree,strongly agree.,agree,agree,strongly agree.,agree,strongly agree.,somewhat agree,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,some of the time,some of the time,most of the time,
272,26,Female,Allied health professional,Radiography,Medical unit,private,Wakiso,No,NA,Fulltime,Living with partner,4,Yes,No,No,Yes,No,Yes,Yes,agree,agree,agree,agree,somewhat agree,somewhat agree,strongly agree.,agree,agree,strongly agree.,somewhat disagree,strongly agree.,agree,strongly agree.,agree,strongly agree.,agree,somewhat agree,somewhat agree,somewhat agree,most of the time,all of the time,all of the time,
273,28,Male,Allied health professional,Laboratory,Laboratory,private,Wakiso,No,NA,Fulltime,Married,2,Yes,Unsure,Yes,Yes,Unsure,Yes,Yes,agree,strongly agree.,strongly agree.,strongly agree.,agree,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,neither agree nor disagree,strongly agree.,agree,strongly agree.,agree,strongly agree.,strongly agree.,somewhat agree,strongly agree.,agree,some of the time,some of the time,all of the time,
274,23,Female,Midwife,,maternity,private,Wakiso,Yes,daily,Fulltime,Living with partner,1,Yes,Yes,Yes,No,No,Yes,Yes,agree,agree,agree,agree,agree,somewhat agree,agree,agree,agree,agree,somewhat agree,agree,agree,agree,agree,somewhat agree,somewhat agree,somewhat agree,strongly disagree,agree,most of the time,most of the time,most of the time,
275,24,Male,Nurse,,emergency,private,Wakiso,Yes,daily,Fulltime,Single (never married),None,no,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,somewhat agree,disagree,neither agree nor disagree,less than half of the time,most of the time,most of the time,
276,41,Female,Midwife,,maternity,private,Wakiso,Yes,daily,Fulltime,Married,2,no,Unsure,Unsure,Unsure,Unsure,Yes,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,all of the time,all of the time,all of the time,
277,39,Female,Nurse,,Medical unit,private,Wakiso,Yes,daily,Fulltime,Single (never married),1,no,Yes,No,Yes,No,Yes,No,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,all of the time,all of the time,all of the time,
278,41,Female,Midwife,,maternity,private,Wakiso,Yes,daily,Fulltime,Married,2,no,Unsure,Unsure,Unsure,Unsure,Yes,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,all of the time,all of the time,all of the time,
279,23,Female,Allied health professional,Medical Radiographer,Medical unit,private,Kampala,Yes,more than one day per week,student,Single (never married),None,Yes,Unsure,No,Yes,No,Yes,NA,somewhat agree,agree,strongly agree.,somewhat agree,somewhat agree,disagree,strongly agree.,agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly disagree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,all of the time,all of the time,most of the time,
280,27,Male,Allied health professional,Medical radiography,Medical unit,private,Wakiso,Yes,daily,Fulltime,Living with partner,1,no,No,Yes,Yes,No,Yes,NA,agree,agree,strongly agree.,strongly agree.,strongly agree.,somewhat disagree,strongly agree.,strongly disagree,strongly disagree,agree,somewhat agree,agree,agree,agree,somewhat agree,agree,agree,agree,agree,strongly disagree,some of the time,some of the time,most of the time,
281,40,Female,Nurse,,Medical unit,private,wakiso,Yes,daily,Fulltime,Prefer not to say,4,Yes,Unsure,Yes,Yes,No,Yes,Yes,agree,strongly agree.,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,disagree,agree,most of the time,all of the time,all of the time,
282,23,Female,Allied health professional,,Medical unit,private,Kampala,Yes,more than one day per week,student,Single (never married),None,Yes,Unsure,No,Yes,No,Yes,NA,somewhat agree,agree,strongly agree.,somewhat agree,somewhat agree,disagree,strongly agree.,agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly disagree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,all of the time,all of the time,most of the time,
283,35,Male,Allied health professional,Pathologist Assistant,emergency,private,Wakiso,Yes,more than one day per week,Fulltime,Married,3,no,Yes,Unsure,Yes,Yes,Yes,Yes,agree,agree,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,agree,strongly agree.,agree,somewhat agree,strongly agree.,somewhat agree,strongly agree.,agree,strongly agree.,strongly agree.,disagree,somewhat agree,somewhat agree,all of the time,all of the time,most of the time,
284,34,Male,Medical doctor,,Other,private,Wakiso,Yes,daily,part time,Living with partner,None,no,Yes,No,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,disagree,strongly agree.,disagree,strongly disagree,strongly agree.,somewhat agree,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,strongly agree.,most of the time,most of the time,most of the time,
285,26,Male,Nurse,,surgical,public,Wakiso,Yes,more than one day per week,student,Single (never married),None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,all of the time,most of the time,all of the time,
286,36,Male,Administrative,,emergency,private,Kisubi -Entebbe,Yes,daily,Fulltime,Living with partner,2,no,Yes,No,Yes,Yes,Yes,Yes,somewhat agree,somewhat agree,agree,agree,somewhat agree,agree,agree,agree,agree,strongly agree.,disagree,agree,agree,agree,agree,strongly agree.,strongly agree.,neither agree nor disagree,disagree,disagree,some of the time,some of the time,some of the time,
287,24,Male,Nurse,,emergency,private,Wakiso,Yes,more than one day per week,Fulltime,Single (never married),None,no,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,agree,agree,strongly agree.,strongly agree.,strongly disagree,agree,agree,all of the time,all of the time,all of the time,
288,27,Female,Nurse,,emergency,private,wakiso,Yes,more than one day per week,Fulltime,Single (never married),None,no,Yes,No,Yes,Yes,Yes,Yes,agree,neither agree nor disagree,somewhat disagree,agree,strongly agree.,disagree,strongly agree.,strongly agree.,agree,agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,neither agree nor disagree,neither agree nor disagree,more than half of the time,more than half of the time,more than half of the time,
289,26,Female,Nurse,,Medical unit,private,Wakiso,Yes,more than one day per week,Fulltime,Living with partner,None,no,No,No,Yes,No,Yes,Yes,agree,agree,strongly agree.,strongly agree.,strongly agree.,somewhat agree,strongly agree.,agree,agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,somewhat disagree,somewhat agree,strongly agree.,all of the time,all of the time,most of the time,
290,23,Male,Nurse,,paediatric,public,Wakiso,Yes,daily,Fulltime,Single (never married),4,Yes,No,Yes,Yes,Yes,Yes,Yes,strongly agree.,agree,strongly agree.,agree,agree,agree,agree,agree,agree,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,most of the time,most of the time,more than half of the time,
291,23,Male,Nurse,,paediatric,public,Wakiso,Yes,daily,Fulltime,Single (never married),4,Yes,No,Yes,Yes,Yes,Yes,Yes,strongly agree.,agree,strongly agree.,agree,agree,agree,agree,agree,agree,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,most of the time,most of the time,more than half of the time,
292,22,Female,Nurse,,Medical unit,private,Wakiso,Yes,daily,Fulltime,Single (never married),None,no,Yes,No,Yes,Yes,Yes,Yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,NA,strongly disagree,disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,disagree,strongly disagree,strongly disagree,disagree,most of the time,most of the time,all of the time,
293,27,Male,Allied health professional,Laboratory scientist,Laboratory,private,Wakiso,Yes,daily,Fulltime,Single (never married),None,no,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,all of the time,all of the time,all of the time,
294,29,Female,Administrative,,Palliative Care,private,Wakiso ,Yes,more than one day per week,Fulltime,Single (never married),2,no,Unsure,Unsure,NA,Yes,Yes,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly disagree,strongly agree.,strongly agree.,neither agree nor disagree,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,all of the time,all of the time,most of the time,
295,29,Female,Administrative,,Palliative Care,private,Wakiso ,Yes,more than one day per week,Fulltime,Single (never married),2,no,Unsure,Unsure,NA,Yes,Yes,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly disagree,strongly agree.,strongly agree.,neither agree nor disagree,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,all of the time,all of the time,most of the time,
296,24,Female,Nurse,,emergency,private,Wakiso,Yes,daily,Fulltime,Single (never married),Prefer not to say,no,Yes,Yes,Yes,Yes,Yes,Yes,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,NA,strongly disagree,disagree,somewhat disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,somewhat disagree,somewhat disagree,somewhat disagree,all of the time,more than half of the time,some of the time,
297,22,Female,Nurse,,Medical unit,private,Wakiso,Yes,daily,Fulltime,Single (never married),None,no,Yes,No,Yes,Yes,Yes,Yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,NA,strongly disagree,disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,disagree,strongly disagree,strongly disagree,disagree,most of the time,most of the time,all of the time,
298,32,Female,Administrative,,Palliative Care,private,Wakiso,Yes,daily,Fulltime,Married,None,Yes,Yes,No,Yes,Yes,Yes,Yes,agree,agree,strongly agree.,strongly agree.,strongly agree.,agree,agree,agree,disagree,agree,disagree,agree,agree,agree,agree,agree,agree,strongly agree.,agree,agree,all of the time,all of the time,all of the time,
299,22,Female,Nurse,,Medical unit,private,Wakiso,Yes,daily,Fulltime,Single (never married),None,no,Yes,No,Yes,Yes,Yes,Yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,most of the time,most of the time,all of the time,
300,20,Female,Nurse,,paediatric,public,Wakiso,Yes,daily,Fulltime,Single (never married),2,no,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,somewhat agree,somewhat agree,strongly agree.,somewhat agree,somewhat agree,strongly agree.,NA,agree,agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,most of the time,most of the time,more than half of the time,
301,20,Female,Nurse,,paediatric,public,Wakiso,Yes,daily,Fulltime,Single (never married),2,no,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,somewhat agree,somewhat agree,strongly agree.,somewhat agree,somewhat agree,strongly agree.,NA,agree,agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,most of the time,most of the time,more than half of the time,
302,22,Female,Nurse,,intensive care,private,Wakiso,Yes,daily,Fulltime,Single (never married),3,Yes,No,No,No,No,No,No,somewhat agree,somewhat agree,somewhat agree,agree,agree,agree,agree,agree,somewhat agree,somewhat agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,some of the time,some of the time,some of the time,
303,22,Female,Nurse,,Medical unit,private,Wakiso,Yes,daily,Fulltime,Single (never married),None,Yes,Yes,Yes,Yes,Yes,Yes,No,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,disagree,disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,disagree,strongly disagree,strongly disagree,disagree,all of the time,all of the time,all of the time,
304,23,Female,Nurse,,surgical,public,Wakiso,Yes,more than one day per week,part time,Living with partner,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,somewhat agree,somewhat agree,neither agree nor disagree,agree,somewhat disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat disagree,NA,all of the time,more than half of the time,most of the time,
305,26,Male,Administrative,,Other,private,wakiso,Yes,more than one day per week,Fulltime,Single (never married),None,no,No,No,Yes,No,Yes,No,somewhat agree,agree,somewhat agree,somewhat agree,agree,disagree,somewhat agree,somewhat agree,somewhat agree,strongly agree.,agree,agree,somewhat agree,somewhat agree,agree,agree,agree,neither agree nor disagree,agree,neither agree nor disagree,most of the time,some of the time,some of the time,
306,23,Female,Nurse,,surgical,public,Wakiso,Yes,more than one day per week,part time,Living with partner,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,somewhat agree,somewhat agree,neither agree nor disagree,agree,somewhat disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat disagree,NA,some of the time,more than half of the time,most of the time,
307,25,Female,Nurse,,Other,private,Wakiso,Yes,daily,Fulltime,Single (never married),None,prefer not to say,Yes,Yes,NA,NA,Yes,NA,strongly disagree,strongly disagree,strongly disagree,NA,NA,NA,NA,strongly disagree,NA,NA,NA,NA,strongly disagree,NA,NA,strongly disagree,NA,NA,NA,NA,all of the time,NA,NA,
308,23,Female,Nurse,,surgical,public,Wakiso,Yes,more than one day per week,part time,Living with partner,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,somewhat agree,somewhat agree,neither agree nor disagree,agree,somewhat disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,agree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,somewhat agree,somewhat disagree,somewhat disagree,more than half of the time,more than half of the time,most of the time,
309,28,Male,Nurse,,surgical,public,Wakiso,Yes,more than one day per week,part time,Living with partner,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,somewhat agree,somewhat agree,neither agree nor disagree,agree,somewhat disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,agree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,somewhat agree,somewhat disagree,somewhat disagree,more than half of the time,more than half of the time,most of the time,
310,28,Male,Nurse,,surgical,public,Wakiso,Yes,more than one day per week,part time,Living with partner,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,somewhat agree,somewhat agree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,strongly agree.,strongly agree.,somewhat agree,somewhat agree,somewhat agree,agree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,somewhat agree,somewhat disagree,somewhat disagree,more than half of the time,more than half of the time,most of the time,
311,30,Female,Nurse,,surgical,public,Wakiso,Yes,more than one day per week,part time,Living with partner,3,Yes,Yes,Yes,No,Yes,Yes,Yes,somewhat agree,somewhat agree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,strongly agree.,strongly agree.,somewhat agree,somewhat agree,somewhat agree,agree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,somewhat agree,somewhat disagree,somewhat disagree,more than half of the time,more than half of the time,most of the time,
312,30,Female,Consultant,,isolation ward,public,Wakiso,Yes,more than one day per week,part time,Living with partner,3,Yes,Yes,Yes,No,Yes,Yes,Yes,agree,somewhat agree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,agree,strongly agree.,somewhat agree,somewhat agree,somewhat agree,agree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,somewhat agree,somewhat disagree,somewhat disagree,more than half of the time,more than half of the time,most of the time,
313,30,Male,Allied health professional,,Medical unit,public,Wakiso,Yes,more than one day per week,part time,Living with partner,3,Yes,Yes,Yes,No,Yes,Yes,Yes,agree,somewhat agree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,neither agree nor disagree,strongly agree.,somewhat agree,somewhat agree,somewhat agree,agree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,somewhat agree,somewhat disagree,somewhat disagree,more than half of the time,more than half of the time,most of the time,
314,25,Female,Nurse,,Medical unit,private,Wakiso,Yes,daily,Fulltime,Single (never married),None,no,Unsure,NA,NA,NA,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,agree,agree,strongly agree.,agree,strongly agree.,agree,agree,strongly agree.,agree,strongly agree.,agree,agree,agree,strongly agree.,neither agree nor disagree,all of the time,all of the time,most of the time,
315,30,Male,Allied health professional,,Medical unit,public,Wakiso,Yes,more than one day per week,part time,Living with partner,3,Yes,Yes,Yes,No,Yes,Yes,Yes,agree,somewhat agree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,neither agree nor disagree,strongly agree.,somewhat agree,somewhat agree,somewhat agree,agree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,somewhat agree,somewhat disagree,somewhat disagree,more than half of the time,more than half of the time,most of the time,
316,30,Male,Midwife,,intensive care,public,Wakiso,Yes,more than one day per week,part time,Living with partner,3,Yes,Yes,Yes,No,Yes,Yes,Yes,agree,somewhat agree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,neither agree nor disagree,strongly agree.,somewhat agree,somewhat agree,somewhat agree,agree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,somewhat agree,somewhat disagree,somewhat disagree,all of the time,more than half of the time,less than half of the time,
