,d_carer_b,consent,willing,d_region_c_o,d_age_i,d_gender,d_edu_c_o,d_hosp_c_u,d_marital_c_u,d_chdn_i,d_job_role_c_u,d_work_unit_c_u,d_contact_freq_i,d_job_type_c_u,d_training_years_i,d_aware_novel,d_getting_infected,d_contacting_coronavirus,d_consider_yourself,e_ever_worked_c_u,e_ever_cared_c_u,e_ever_contact_c_u,e_do_care_c_o,e_contact_type_c_o,e_aerosol_c_o,i_n95_c_o,i_mask_c_o,i_hand_hyg_c_o,i_gown_c_o,i_apron_c_o,i_full_suit_c_o,i_gloves_c_o,i_eye_protect_c_o,i_sing_use_eqps_c_o,s_can_manage_c_o,s_cont_mge_c_o,s_ipc_skill_c_o,s_received_training,s_can_don_c_o,s_can_followc_o,s_can_protect_c_0,s_is_proected,s_is_straining_c_o,s_will_use_c_o,s_risk_concd_c_o,s_fam_concd_c_o,s_is_afraid_c_o,s_accept_c_o,s_my_ctrl_c_o,b_manage,b_honest_manage,b_dir_interest
684,Yes,Yes,Yes,Yaounde,20,Female,First University Degree,Unlucrative private Health facility,Living alone,1,Allied health professionals,Outpatient department,Almost every day of the month,Casual or locum staff,2 to 5  years,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
685,Yes,Yes,Yes,Yaounde,24,Female,High School Diploma,Unlucrative private Health facility,Living alone,1,Health Assistants,Medical Unit,Almost every day of the month,Voluntary,< 1 year,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,No,Unsure,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree
686,Yes,Yes,Yes,Yaounde,33,Female,First University Degree,Unlucrative private Health facility,Prefer not to say,3,Allied health professionals,Other,Almost every day of the month,Long-Term Contract (>12mths),11 to 15 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
687,Yes,Yes,Yes,Yaounde,28,Female,High School Diploma,Unlucrative private Health facility,Prefer not to say,1,Allied health professionals,Infectious Disease Ward,Almost every day of the month,Fulltime,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
688,Yes,Yes,Yes,Yaounde,25,Female,High School Diploma,Unlucrative private Health facility,Living alone,1,Health Assistants,Medical Unit,Almost every day of the month,Voluntary,< 1 year,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,Unsure,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree
689,Yes,Yes,Yes,Yaounde,27,Female,First University Degree,Unlucrative private Health facility,Living with another (Married - Partnership),2,Nurse,Medical Unit,Almost every day of the month,Fulltime,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
690,Yes,Yes,Yes,Yaounde,32,Female,First University Degree,Unlucrative private Health facility,Living with another (Married - Partnership),4,Allied health professionals,Other,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
691,Yes,Yes,Yes,Yaounde,35,Female,High School Diploma,Unlucrative private Health facility,Living with another (Married - Partnership),5,Nurse,Outpatient department,Almost every day of the month,Long-Term Contract (>12mths),11 to 15 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
692,Yes,Yes,Yes,Yaounde,33,Female,First University Degree,Unlucrative private Health facility,Living alone,2,Allied health professionals,Outpatient department,Almost every day of the month,Short-term contract (< 13mths),< 1 year,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
693,Yes,Yes,Yes,Yaounde,37,Male,First University Degree,Unlucrative private Health facility,Living alone,1,Allied health professionals,Outpatient department,Almost every day of the month,Voluntary,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree
694,Yes,Yes,Yes,Yaounde,37,Female,First University Degree,Unlucrative private Health facility,Living alone,3,Nurse,Maternity,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,Yes,Unsure,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
695,Yes,Yes,Yes,Yaounde,45,Female,First University Degree,Unlucrative private Health facility,Living with another (Married - Partnership),5,Nurse,Maternity,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,No,Unsure,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree
696,Yes,Yes,Yes,Yaounde,25,Female,First University Degree,Unlucrative private Health facility,Living alone,1,Allied health professionals,Medical Unit,Almost every day of the month,Voluntary,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
697,Yes,Yes,Yes,Yaounde,25,Female,First University Degree,Unlucrative private Health facility,Living alone,1,Allied health professionals,Medical Unit,Almost every day of the month,Voluntary,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,Unsure,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree
698,Yes,Yes,Yes,Yaounde,30,Female,Other,Lucrative private health Facility,Living with another (Married - Partnership),3,Nurse,Emergency,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
699,Yes,Yes,Yes,Yaounde,33,Female,First University Degree,Unlucrative private Health facility,Living alone,3,Midwife,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[1]  Extremely unlikely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
700,NA,Yes,Yes,Yaounde,28,Female,High School Diploma,Lucrative private health Facility,Prefer not to say,2,Health Assistants,Outpatient department,Never,Long-Term Contract (>12mths),2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[5],No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree
701,NA,Yes,Yes,Yaounde,35,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),3,Nurse,Maternity,Never,Long-Term Contract (>12mths),2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Unsure,Yes,Unsure,Yes,Unsure,No,Unsure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree
702,NA,Yes,Yes,Yaounde,26,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,3,Non clinical,Other,Never,Part time,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree
703,NA,Yes,Yes,Yaounde,30,Male,Secondary School/SHS/SSS or Lower,Lucrative private health Facility,Living alone,2,Non clinical,Other,Never,Long-Term Contract (>12mths),2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree
704,NA,Yes,Yes,Yaounde,30,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),3,Nurse,Medical Unit,Never,Fulltime,6 to 10 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree
705,Yes,Yes,Yes,Yaounde,52,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living with another (Married - Partnership),More than 5,Midwife,Outpatient department,Almost every day of the month,Fulltime,11 to 15 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree
706,Yes,Yes,Yes,Yaounde,53,Male,Masters,Lucrative private health Facility,Living with another (Married - Partnership),4,Medical Doctor,Medical Unit,Almost every day of the month,Fulltime,More than 15 years,Yes,[5],[5],[6],No,No,Yes,Yes,Direct Contact with COVID-19 patients,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree
707,Yes,Yes,Yes,Yaounde,27,Female,High School Diploma,Lucrative private health Facility,Living alone,2,Nurse,Medical Unit,No more than three days during each week,Long-Term Contract (>12mths),2 to 5  years,Yes,[6],[6],[6],No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree
708,Yes,Yes,Yes,Yaounde,32,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),3,Nurse,Medical Unit,No more than three days during each week,Long-Term Contract (>12mths),2 to 5  years,Yes,[6],[6],[5],No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree
709,Yes,Yes,Yes,Yaounde,32,Male,First University Degree,Lucrative private health Facility,Living alone,4,Allied health professionals,Other,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,Yes,[6],[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree
710,Yes,Yes,Yes,Yaounde,25,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,3,Allied health professionals,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,[5],[5],[6],No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree
711,NA,Yes,Yes,Yaounde,28,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),2,Non clinical,Other,Almost every day of the month,Prefer not to say,2 to 5  years,Yes,[6],[6],[6],No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Strongly Agree
712,Yes,Yes,Yes,Yaounde,39,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),More than 5,Midwife,Maternity,Almost every day of the month,Fulltime,11 to 15 years,Yes,[5],[5],[5],No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree
713,Yes,Yes,Yes,Yaounde,44,Male,Masters,Lucrative private health Facility,Living with another (Married - Partnership),4,Medical Doctor,Medical Unit,Almost every day of the month,Part time,11 to 15 years,Yes,[6],[6],[6],No,No,Yes,No,Unsure,No,Yes,No,Yes,No,No,No,Yes,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree
714,Yes,Yes,Yes,Douala,28,Female,First University Degree,Lucrative private health Facility,Living alone,2,Midwife,Maternity,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree
715,Yes,Yes,Yes,Douala,28,Female,First University Degree,Lucrative private health Facility,Living alone,2,Nurse Assistant Clinical,Medical Unit,No more than three days during each week,Long-Term Contract (>12mths),2 to 5  years,Yes,[5],[5],[5],Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
716,Yes,Yes,Yes,Douala,26,Female,Masters,Lucrative private health Facility,Living alone,1,Medical Doctor,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree
717,Yes,Yes,Yes,Douala,55,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),2,Nurse,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),More than 15 years,Yes,[3],[3],[6],No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree
718,Yes,Yes,Yes,Douala,35,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),2,Nurse,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,Yes,[2],[2],[5],No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree
719,Yes,Yes,Yes,Douala,42,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),3,Health Assistants,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,Yes,[2],[2],[5],No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree
720,Yes,Yes,Yes,Douala,34,Female,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),3,Nurse,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,[7] Extremely likely,[6],[5],No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree
721,NA,Yes,Yes,Douala,28,Male,First University Degree,Lucrative private health Facility,Living alone,1,Allied health professionals,Other,No more than three days during each week,Long-Term Contract (>12mths),< 1 year,Yes,[2],[2],[2],No,No,Yes,Yes,Direct Contact with COVID-19 patients,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree
722,Yes,Yes,Yes,Douala,21,Female,First University Degree,Lucrative private health Facility,Living alone,1,Health Assistants,Other,Almost every day of the month,Short-term contract (< 13mths),2 to 5  years,Yes,[3],[4],[4],No,No,Unsure,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree
723,Yes,Yes,Yes,Douala,32,Male,First University Degree,Lucrative private health Facility,Living alone,0,Nurse,Other,Almost every day of the month,Short-term contract (< 13mths),2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
724,Yes,Yes,Yes,Douala,30,Male,High School Diploma,Lucrative private health Facility,Prefer not to say,2,Nurse,Medical Unit,Almost every day of the month,Fulltime,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
725,Yes,Yes,Yes,Douala,35,Female,High School Diploma,Lucrative private health Facility,Living alone,4,Nurse Assistant Preventive,Medical Unit,Almost every day of the month,Prefer not to say,6 to 10 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
726,Yes,Yes,Yes,Douala,34,Female,High School Diploma,Lucrative private health Facility,Prefer not to say,3,Nurse,Medical Unit,Almost every day of the month,Prefer not to say,6 to 10 years,Yes,[7] Extremely likely,[6],[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
