record_id,d_carer_b,consent,willing,d_age_i,gender,d_marital_c_u,d_edu_c_o,d_educ_other,d_chdn_i,d_region_c_o,d_hosp_c_u,d_job_role_c_u,d_work_unit_c_u,d_contact_freq_i,d_job_type_c_u,d_training_years_i,e_ever_worked_c_u,e_ever_cared_c_u,e_ever_contact_c_u,e_do_care_c_o,e_contact_type_c_o,e_aerosol_c_o,i_n95_c_o,i_mask_c_o,i_hand_hyg_c_o,i_gown_c_o,i_apron_c_o,i_full_suit_c_o,i_gloves_c_o,i_eye_protect_c_o,i_sing_use_eqps_c_o,s_can_manage_c_o,s_cont_mge_c_o,s_ipc_skill_c_o,s_received_training,s_can_don_c_o,s_can_followc_o,s_can_protect_c_0,s_is_proected,s_is_straining_c_o,s_will_use_c_o,s_proto_exists_c_o,s_can_access_ppe_c_o,s_has_iso_fac,s_know_cont_c_o,s_get_supp_c_o,s_coll_follow_c_o,s_expected_i_fllw_c_o,s_enco_supp_c_o,s_risk_concd_c_o,s_fam_concd_c_o,s_is_afraid_c_o,s_accept_c_o,s_my_ctrl_c_o,s_alcohol_c_o,r_n95_c_o,r_surg_mask_c_o,r_fluid_gown_c_o,r_disp_apron_c_o,r_disp_gloves_c_o,r_full_suit_c_o,r_eye_prot_c_o,w_cheer_c_o,w_calm_c_o,w_active_c_o,w_rested_c_o,w_interest_c_o,f_cmpt_c_o,f_hnst_c_o,f_best_int_c_o,e_c19_exp_c_o,e_risk_assess_c_o,e_risk_level_b,e_did_isolate_b,e_isolate_days_ch,e_exp_loc_c_u,e_c19_test_b,e_test_results_c_o,e_pos_mgmt_c_u
4307,1,1,1,28,2,0,5,,4,7,2,1,2,1,6,4,0,0,1,1,2,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,-1,2,1,1,2,2,1,1,2,1,-1,1,-1,-1,0,4,3,4,3,3,4,3,3,2,2,2,2,2,1,1,1,1,1,1,0,,1,1,0,
3365,1,1,1,25,1,1,4,MBchB,0,7,2,1,4,2,6,2,0,0,1,1,3,,,,,,,,,,,1,1,1,1,0,1,1,1,0,2,1,1,1,1,0,2,2,2,2,2,1,2,-2,4,3,4,3,3,4,3,3,2,2,2,2,2,1,1,1,1,0,,,,3,1,0,
2843,1,1,1,30,1,1,4,,2,5,2,1,7,1,6,3,0,0,1,1,2,0,1,0,0,0,0,0,1,0,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,3,3,4,3,3,2,2,2,2,,2,2,2,1,0,,,,1,1,0,
4256,1,1,1,25,1,1,4,,0,7,4,2,1,1,6,2,0,2,0,0,,,,,,,,,,,,1,1,2,2,1,2,2,2,0,2,1,1,1,1,1,2,2,1,2,2,1,1,0,3,3,4,3,3,4,3,3,2,2,2,1,2,0,1,1,3,,,,,,0,,
4268,1,1,1,30,2,2,4,,0,14,6,1,1,1,6,3,2,1,1,2,,,,,,,,,,,,1,1,1,0,1,2,2,1,0,2,2,1,2,2,1,2,2,2,2,2,0,1,1,3,3,4,3,3,4,3,3,2,2,1,2,2,1,1,1,2,,,,,,1,0,
2826,1,1,1,32,1,2,4,,1,7,1,1,3,5,6,4,1,1,1,0,,,,,,,,,,,,2,2,2,1,-1,-1,2,1,-1,2,2,1,2,1,0,1,2,2,2,2,2,2,1,4,3,4,3,3,4,3,3,2,2,1,1,2,2,0,0,3,,,,,,0,,
4578,1,1,1,30,1,2,6,,2,2,2,1,2,3,2,4,0,0,1,2,,,,,,,,,,,,1,1,2,2,2,2,2,1,0,2,1,0,2,2,2,1,2,1,1,2,-1,1,-1,4,3,4,3,3,4,3,3,2,2,1,1,2,1,0,0,1,1,2,,,2,1,0,
1912,1,1,1,30,,2,3,,1,2,6,9,11,1,6,2,0,2,1,1,3,,,,,,,,,,,1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,1,4,3,4,3,3,4,3,3,1,2,2,2,3,1,2,2,3,,,,,,0,,
2877,1,1,1,29,1,2,4,,0,15,4,1,6,1,6,4,0,1,1,1,2,0,1,0,1,1,1,0,1,1,1,-1,-1,1,1,1,2,0,2,0,2,-1,1,1,2,-1,2,2,1,1,1,-1,1,-1,3,3,4,3,3,4,3,3,1,2,2,2,1,-2,-1,-1,2,,,,,,0,,
2244,1,1,1,28,,1,3,,0,7,3,4,5,1,6,4,0,0,1,0,,,,,,,,,,,,2,2,1,0,1,2,2,1,1,2,1,1,2,2,0,1,1,0,2,2,-2,2,1,4,3,4,3,3,4,3,3,1,1,2,0,0,0,-2,-1,1,0,,,,1,1,0,
987,1,1,1,44,1,2,4,,3,7,4,9,13,1,6,18,1,1,1,1,2,1,0,1,1,0,0,0,0,0,1,2,2,1,2,0,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,0,-1,1,3,3,4,3,3,4,3,3,1,1,1,1,3,2,2,2,1,1,2,,,1,1,0,
53,1,1,1,28,,1,3,,0,2,2,4,7,1,6,4,0,0,1,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,-2,0,1,4,3,4,3,3,4,3,2,2,2,2,2,1,2,0,1,1,0,,,,2,1,0,
3801,1,1,1,36,1,2,5,,2,2,2,1,1,1,6,9,0,0,1,1,1,,,,,,,,,,,1,1,-1,-1,-2,1,0,0,1,2,0,1,2,1,0,1,2,1,2,2,0,0,1,3,3,4,3,3,4,3,2,2,2,2,2,1,1,0,0,1,1,2,,,1,1,1,3
52,1,1,1,28,,1,3,,0,2,2,4,7,1,6,4,0,0,1,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,-2,0,1,4,3,4,3,3,4,3,2,2,2,2,2,,2,,1,1,0,,,,2,1,0,
4563,1,1,1,34,1,2,4,,2,7,2,1,3,3,2,3,0,0,1,0,,,,,,,,,,,,2,1,0,-1,-1,-1,2,2,0,2,2,1,2,1,1,2,2,2,2,2,0,2,2,4,3,4,3,3,4,3,2,2,2,2,1,2,2,0,-1,,,,,,,1,0,
1039,1,1,1,30,1,1,3,,0,7,7,9,11,2,6,8,0,0,1,1,3,,,,,,,,,,,-2,-1,-2,-1,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,0,-2,-2,-2,-2,-2,-1,-2,0,4,3,4,3,3,4,3,2,1,1,2,0,1,-2,0,-2,3,,,,,,1,0,
2586,1,1,1,40,1,2,5,,0,2,6,1,3,1,6,16,1,0,1,1,2,0,1,1,1,0,0,0,1,1,1,1,1,1,2,1,1,1,1,0,2,1,1,1,1,0,0,2,0,2,2,0,1,-1,4,3,4,3,3,4,2,4,3,3,3,3,3,1,1,1,1,1,1,0,,1,1,0,
3914,1,1,1,38,1,1,6,,0,7,7,1,7,1,6,15,0,1,0,0,,,,,,,,,,,,0,0,2,0,1,2,2,2,2,2,2,2,-2,2,0,2,2,2,0,1,-2,1,1,4,3,4,3,3,4,2,4,3,3,3,3,3,0,2,2,2,,,,,,1,0,
4259,1,1,1,41,2,2,3,,2,7,2,2,6,1,6,12,2,1,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,2,1,2,1,3,3,4,3,3,4,2,4,2,3,3,2,2,2,1,2,3,,,,,,0,,
943,1,1,1,28,2,1,3,,1,5,2,4,1,1,6,4,1,1,1,1,2,1,1,1,1,0,1,0,1,1,1,2,2,2,2,2,2,2,2,-2,2,2,1,2,2,1,2,2,2,1,0,-2,1,2,4,3,4,3,3,4,2,4,2,2,2,2,3,2,2,2,1,1,2,,,1,1,0,
2629,1,1,1,38,2,2,3,,2,2,4,2,2,3,6,13,1,1,1,1,2,0,1,1,1,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,4,3,4,3,3,4,2,4,2,2,2,2,2,1,1,1,1,1,2,,,1,1,0,
3022,1,1,1,31,2,1,4,,0,10,4,1,2,1,6,5,0,0,1,1,1,,,,,,,,,,,0,0,2,2,0,0,0,1,1,2,1,-1,2,1,1,-1,2,0,2,1,0,1,1,4,3,4,3,3,4,2,4,2,2,2,2,1,0,-1,0,2,,,,,,1,0,
4056,1,1,1,29,2,1,4,,0,2,2,1,2,1,2,4,1,1,1,1,1,,,,,,,,,,,1,1,-2,2,1,2,0,1,1,2,2,2,2,2,0,2,2,0,1,2,-2,2,-2,4,3,4,3,3,4,2,4,2,2,2,1,1,1,1,0,2,,,,,,1,0,
4024,1,1,1,32,2,1,5,,0,2,2,1,2,2,6,9,2,0,1,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,0,2,2,-1,1,2,4,3,4,3,3,4,2,4,2,2,1,0,1,1,0,0,1,1,2,,,1,1,1,3
4133,1,1,1,31,1,2,4,,2,9,6,4,7,1,6,6,0,0,0,0,,,,,,,,,,,,1,1,2,2,2,2,2,2,-2,2,2,2,2,2,2,2,2,2,2,2,-2,2,2,4,3,4,3,3,4,2,3,3,3,3,3,3,1,2,2,2,,,,,,0,,
1074,1,1,1,59,,2,3,,2,2,4,9,11,1,6,31,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,2,2,4,3,4,3,3,4,2,3,3,3,3,3,3,1,2,2,1,1,2,,,1,1,1,3
4375,1,1,1,33,2,2,5,,2,2,8,1,1,1,4,7,0,0,0,0,,,,,,,,,,,,1,1,2,2,2,2,2,2,-2,2,2,2,2,2,0,2,2,2,1,1,-1,2,1,4,3,4,3,3,4,2,3,3,3,3,2,2,0,1,2,2,,,,,,1,0,
4464,1,1,1,36,2,1,4,,0,7,2,2,1,1,6,4,1,0,1,0,,,,,,,,,,,,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,-2,2,2,4,3,4,3,3,4,2,3,3,2,2,1,2,2,2,1,1,1,1,0,,1,0,,
4468,1,1,1,36,2,1,4,,0,7,2,2,1,1,6,4,1,0,1,0,,,,,,,,,,,,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,-2,2,2,4,3,4,3,3,4,2,3,3,2,2,1,2,2,2,1,1,1,1,0,,1,0,,
1975,1,1,1,27,,2,3,,4,6,4,9,11,1,3,4,0,0,1,0,,,,,,,,,,,,2,2,2,1,2,2,2,1,2,2,2,2,2,1,0,1,2,2,2,2,1,2,2,4,3,4,3,3,4,2,3,2,2,3,1,3,2,2,1,2,,,,,,0,,
996,1,1,1,37,2,2,3,,1,2,3,9,7,1,6,7,1,0,1,0,,,,,,,,,,,,2,2,1,0,1,-2,2,1,1,2,2,2,2,2,2,1,2,1,1,2,2,2,1,4,3,4,3,3,4,2,3,2,2,2,2,3,2,2,2,2,,,,,,0,,
2855,1,1,1,28,2,1,4,,0,7,4,1,4,2,6,4,0,0,1,1,2,0,0,0,1,0,0,0,1,0,1,2,1,2,2,2,2,2,1,-1,2,2,1,2,2,1,1,2,2,1,2,-1,0,-1,4,3,4,3,3,4,2,3,2,2,2,2,3,2,2,2,1,1,1,1,14,1,1,0,
2999,1,1,1,38,2,2,4,BSc. MbChB,3,4,6,1,4,1,6,10,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,0,2,1,2,2,1,1,1,2,1,1,1,-1,1,0,4,3,4,3,3,4,2,3,2,2,2,2,3,2,1,2,,,,,,,1,1,3
2580,1,1,1,59,1,2,5,Fellowship in internal medicine ,0,7,2,1,1,2,6,30,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,2,2,1,1,1,2,,2,2,1,2,2,2,1,1,1,1,1,4,3,4,3,3,4,2,3,2,2,2,2,2,2,2,2,1,0,,,,1,0,,
2584,1,1,1,59,1,2,5,Fellowship in internal medicine ,0,7,2,1,1,2,6,30,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,2,2,1,1,1,2,,2,2,1,2,2,2,1,1,1,1,1,4,3,4,3,3,4,2,3,2,2,2,2,2,2,2,2,1,0,,,,1,0,,
1133,1,1,1,28,,1,4,,,15,6,2,7,1,6,2,0,0,1,1,2,0,0,1,1,0,0,0,2,0,1,1,-1,2,2,2,2,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,-1,2,1,4,3,4,3,3,4,2,3,2,2,2,2,2,1,2,2,1,1,2,,,1,1,0,
3836,1,1,1,41,1,2,5,,3,2,7,1,3,1,0,13,0,0,1,1,2,0,1,0,1,1,1,0,1,1,1,1,1,1,1,2,2,2,2,-2,2,1,1,0,1,0,1,2,2,1,1,0,1,0,4,3,4,3,3,4,2,3,2,2,2,2,2,1,1,1,3,,,,,,0,,
4009,1,1,1,50,2,2,5,,1,7,8,1,7,1,6,21,1,0,1,0,,,,,,,,,,,,0,0,2,1,0,2,2,2,1,2,1,1,1,1,1,1,2,2,1,1,-1,2,-1,3,3,4,3,3,4,2,3,2,2,2,2,2,0,1,1,2,,,,,,1,0,
4389,1,1,1,28,2,0,6,,0,2,6,1,7,1,6,5,0,2,1,0,,,,,,,,,,,,1,1,1,1,2,1,2,2,0,2,1,1,-1,1,1,1,2,2,1,1,1,1,2,4,3,4,3,3,4,2,3,2,2,2,1,3,0,0,1,,,,,,,1,0,
2794,1,1,1,35,1,2,5,,2,7,7,1,1,1,2,6,0,1,1,1,1,,,,,,,,,,,1,1,2,1,0,0,2,2,1,2,2,1,2,2,0,0,2,2,2,2,1,2,2,4,3,4,3,3,4,2,3,2,2,2,1,3,-1,0,2,1,1,1,1,14,1,1,0,
1766,1,1,1,34,,2,4,MBBS,1,7,2,1,1,2,0,1,0,0,1,0,,,,,,,,,,,,2,2,-1,-1,-2,2,1,1,0,2,2,1,1,1,1,0,1,1,2,2,2,2,0,4,3,4,3,3,4,2,3,2,1,2,1,2,1,1,1,1,1,1,1,14,2,1,1,3
1834,1,1,1,38,,2,4,,1,15,4,9,7,1,6,10,1,0,1,0,,,,,,,,,,,,-1,-1,2,1,0,1,2,1,-1,2,2,1,-1,2,0,2,2,2,2,2,0,2,2,4,3,4,3,3,4,2,3,1,1,2,1,2,1,1,1,3,,,,,,0,,
4575,1,1,1,31,1,2,6,,3,5,2,1,3,1,6,8,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,0,0,2,2,2,1,1,0,1,1,1,0,2,2,1,1,1,2,0,1,-2,1,1,4,3,4,3,3,4,2,3,1,1,2,1,1,1,0,1,1,1,2,,,1,1,0,
4115,1,1,1,28,2,1,4,,0,6,5,2,7,1,6,3,0,0,1,1,1,,,,,,,,,,,-2,-2,2,2,2,2,2,2,-2,2,2,2,2,2,2,2,2,2,2,2,-2,2,2,4,3,4,3,3,4,2,2,3,3,3,3,3,-2,2,2,2,,,,,,0,,
4485,1,1,1,31,2,2,4,,2,2,2,1,6,1,6,7,1,1,1,1,3,,,,,,,,,,,2,2,2,1,0,1,2,2,1,1,2,1,2,1,1,1,2,2,0,2,-2,1,0,3,3,4,3,3,4,2,2,3,2,2,1,2,2,1,2,1,1,1,0,,1,1,0,
3605,1,1,1,35,2,2,4,,2,16,6,2,2,1,2,9,0,0,1,2,,,,,,,,,,,,0,-1,1,1,0,0,2,2,1,1,0,0,2,0,0,0,2,0,2,2,1,1,0,3,3,4,3,3,4,2,2,2,3,3,2,2,0,0,1,3,,,,,,0,,
2032,1,1,1,65,,2,5,,2,7,6,1,7,1,6,36,1,1,1,0,,,,,,,,,,,,1,1,1,1,0,1,1,2,0,2,1,1,1,0,1,2,2,2,1,1,0,2,2,4,3,4,3,3,4,2,2,2,2,2,2,2,0,1,2,3,,,,,,0,,
3625,1,1,1,37,1,0,5,,0,6,4,1,1,5,6,7,0,0,0,0,,,,,,,,,,,,2,2,2,2,1,2,2,2,0,2,2,2,1,2,2,2,2,2,1,1,-2,2,0,4,3,4,3,3,4,2,2,2,2,2,1,3,2,2,2,1,1,1,1,14,2,1,0,
4418,1,1,1,47,1,2,5,,1,7,2,2,6,1,6,21,1,0,1,0,,,,,,,,,,,,2,2,2,1,2,2,1,0,2,2,2,0,2,2,1,2,2,1,2,2,0,-1,0,4,3,4,3,3,4,2,2,1,0,1,0,1,2,1,0,1,1,2,,,1,1,-1,
3147,1,1,1,64,1,2,4,,2,2,8,2,7,2,0,40,1,0,0,0,,,,,,,,,,,,-2,-2,-2,-2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,1,2,2,1,4,3,4,3,3,4,0,4,3,3,3,3,3,1,1,2,2,,,,,,0,,
4326,1,1,1,35,2,2,4,,2,16,4,2,2,1,6,10,0,0,1,0,,,,,,,,,,,,-1,-1,1,0,0,,1,1,-2,1,1,-1,1,1,0,2,2,1,2,2,-2,2,-1,4,3,4,3,3,4,0,3,3,3,3,3,0,-1,-1,-1,3,,,,,,0,,
4333,1,1,1,35,2,2,4,,2,16,4,2,2,1,6,10,0,0,1,0,,,,,,,,,,,,-1,-1,1,0,0,,1,1,-2,1,1,-1,1,1,0,2,2,1,2,2,-2,2,-1,4,3,4,3,3,4,0,3,3,3,3,3,0,-1,-1,-1,3,,,,,,0,,
4334,1,1,1,35,2,2,4,,2,16,4,2,2,1,6,10,0,0,1,0,,,,,,,,,,,,-1,-1,1,0,0,0,1,1,-2,1,1,-1,1,1,0,0,1,1,2,2,-2,2,-1,4,3,4,3,3,4,0,3,3,3,3,3,0,-1,-1,-1,3,,,,,,0,,
2494,1,1,1,34,2,2,4,,4,7,3,1,6,1,2,9,0,0,1,0,,,,,,,,,,,,1,1,1,1,1,1,1,2,0,2,1,-1,1,-1,1,0,1,0,1,1,0,1,0,4,3,4,3,3,4,,3,3,3,3,2,2,1,1,2,1,1,1,1,14,2,1,0,
665,1,1,1,25,1,1,4,,1,7,8,3,12,4,5,4,0,0,1,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,0,2,1,2,2,1,-1,1,2,1,1,1,0,1,1,4,3,4,3,3,3,4,3,2,2,2,2,2,1,1,1,2,,,,,,0,,
591,1,1,1,35,2,2,4,,3,15,3,4,6,1,6,9,1,0,1,0,,,,,,,,,,,,1,1,1,2,2,2,2,2,-1,2,2,1,2,2,1,2,2,2,2,2,-1,1,2,4,3,4,3,3,3,3,4,3,3,3,3,2,2,1,2,2,,,,,,1,0,
1670,1,1,1,25,,1,3,,2,2,7,9,7,5,4,2,0,1,1,0,,,,,,,,,,,,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,-2,1,2,4,3,4,3,3,3,3,4,2,3,2,3,2,2,2,2,2,,,,,,1,0,
1761,1,1,1,26,,0,3,,4,7,5,9,9,1,4,4,0,2,0,1,3,,,,,,,,,,,-2,-2,1,1,2,2,2,2,2,2,2,1,-2,2,-1,2,2,2,2,2,-1,2,2,3,3,4,3,3,3,3,4,2,2,2,2,3,-1,2,2,2,,,,,,0,,
2417,1,1,1,34,2,0,4,,0,4,7,3,12,1,0,12,0,0,0,0,,,,,,,,,,,,1,-2,2,2,2,2,1,1,1,2,1,0,1,1,2,2,2,1,-2,-2,-2,-2,2,4,3,4,3,3,3,3,3,3,3,3,3,3,0,1,2,2,,,,,,0,,
1291,1,1,1,29,1,0,4,,1,7,3,1,1,1,0,3,0,0,0,0,,,,,,,,,,,,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,2,1,2,1,1,1,1,1,4,3,4,3,3,3,3,3,3,3,3,2,3,1,1,1,2,,,,,,1,0,
4250,1,1,1,32,1,0,6,,0,2,8,9,10,5,5,1,0,0,0,0,,,,,,,,,,,,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,-1,0,0,4,3,4,3,3,3,3,3,2,2,2,2,2,2,2,0,3,,,,,,0,,
666,1,1,1,28,2,0,4,,0,7,5,3,12,5,1,3,0,0,1,0,,,,,,,,,,,,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,4,3,4,3,3,3,3,3,2,2,2,2,2,1,1,1,3,,,,,,0,,
3564,1,1,1,32,2,2,4,,3,16,4,2,7,1,6,8,0,0,1,1,2,0,1,0,1,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,1,1,4,3,4,3,3,3,3,3,2,2,2,2,2,1,1,1,2,,,,,,1,0,
1235,1,1,1,35,1,0,4,,0,15,9,9,9,5,0,1,0,0,1,0,,,,,,,,,,,,2,2,-2,-1,-1,-1,0,-1,-1,-1,1,0,2,-1,0,2,1,1,2,1,1,2,2,4,3,4,3,3,3,3,3,2,2,2,1,3,2,1,2,2,,,,,,0,,
1840,1,1,1,31,,1,3,,2,7,5,9,9,2,3,3,0,0,1,1,3,,,,,,,,,,,1,1,2,1,1,2,2,2,1,2,2,1,2,1,1,2,2,1,-1,1,-1,2,1,3,3,4,3,3,3,3,3,2,1,2,2,2,1,2,2,2,,,,,,0,,
2687,1,1,1,28,2,1,5,,0,2,1,1,7,2,1,4,0,0,1,0,,,,,,,,,,,,1,0,1,1,0,1,1,0,1,1,2,1,2,0,1,1,1,1,1,2,1,1,0,4,3,4,3,3,3,3,3,1,1,1,1,1,1,1,1,3,,,,,,0,,
2251,1,1,1,35,,2,5,,3,2,6,1,1,,6,8,1,1,1,1,1,,,,,,,,,,,1,1,2,1,1,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,3,3,4,3,3,3,2,4,2,2,2,2,1,1,1,-1,1,1,1,0,,1,1,0,
2719,1,1,1,26,1,1,4,,0,7,3,1,1,1,6,3,0,0,1,2,,,,,,,,,,,,1,-1,-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,1,1,1,1,0,1,1,1,4,3,4,3,3,3,2,4,1,1,1,1,2,-1,1,1,3,,,,,,0,,
1099,1,1,1,37,,2,4,,1,15,4,9,7,5,6,6,0,0,1,0,,,,,,,,,,,,-1,0,2,1,-1,1,2,2,-1,2,2,-1,1,1,2,2,2,2,2,2,1,2,1,4,3,4,3,3,3,2,3,1,1,2,1,2,1,1,0,2,,,,,,0,,
3757,1,1,1,52,1,2,5,,0,2,2,4,8,2,6,30,1,0,1,0,,,,,,,,,,,,2,2,2,2,1,2,2,2,0,2,2,-1,2,2,2,2,2,2,2,2,1,-2,0,4,3,4,3,3,3,2,3,1,0,2,1,2,2,1,0,1,0,,,,1,0,,
2213,,1,1,36,,2,3,,2,6,5,9,4,5,6,12,0,0,0,0,,,,,,,,,,,,-2,-2,2,1,2,1,2,0,1,2,2,1,0,1,1,2,2,1,1,2,-1,2,1,,3,4,3,3,2,2,2,3,2,2,1,2,-2,1,1,3,,,,,,1,0,
2685,1,1,1,36,1,2,5,,2,7,4,1,7,1,6,11,0,1,1,1,2,0,1,0,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,-2,2,0,1,2,1,1,1,2,1,2,2,-2,1,-1,3,3,4,3,2,4,3,4,2,2,2,1,2,2,2,2,1,1,2,,,1,1,1,3
4694,1,1,1,44,1,2,6,,3,2,2,1,7,2,6,17,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,-1,4,3,4,3,2,4,3,3,2,2,2,2,2,0,0,0,,,,,,,0,,
2869,1,1,1,34,1,2,4,,2,1,4,1,3,1,6,7,0,1,1,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,-1,2,2,4,3,4,3,2,4,3,2,2,3,3,3,2,2,1,2,1,1,1,0,,1,1,0,
4206,1,1,1,38,2,2,4,,2,4,6,2,2,1,6,13,1,2,1,1,2,1,1,0,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,,1,1,2,2,2,1,2,2,1,2,2,1,-2,-2,4,3,4,3,2,4,3,2,1,1,2,,1,2,1,1,1,1,1,0,,1,1,0,
1370,1,1,1,34,,2,5,,2,7,7,3,12,4,6,10,0,0,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,1,1,-1,1,2,1,1,2,1,2,2,2,1,1,2,1,0,0,0,0,1,4,3,4,3,2,4,2,4,2,1,3,1,3,1,2,2,1,1,2,,,1,1,1,3
4263,1,1,1,28,2,1,4,,0,2,2,9,11,2,0,3,0,0,2,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,4,3,4,3,2,4,2,3,2,2,2,2,2,2,2,2,2,,,,,,0,,
3221,1,1,1,33,1,0,3,Advanced Diploma ,2,5,4,2,1,1,6,10,0,2,1,0,,,,,,,,,,,,2,2,2,1,0,1,2,2,-2,2,2,1,2,2,1,2,2,2,2,2,0,2,2,4,3,4,3,2,4,2,3,1,1,2,1,2,1,1,2,3,,,,,,0,,
1466,1,1,1,26,,1,4,,0,7,8,3,12,1,2,3,0,0,2,2,,,,,,,,,,,,0,1,1,0,0,2,2,1,1,2,2,1,-1,1,0,2,2,2,0,0,0,0,0,4,3,4,3,2,4,2,2,3,3,3,3,3,0,0,0,2,,,,,,0,,
4663,1,1,1,59,2,2,6,,2,2,2,9,11,1,6,34,1,1,1,1,1,,,,,,,,,,,2,2,2,1,2,2,2,2,0,2,1,2,2,2,2,2,2,1,2,2,-1,0,0,3,3,4,3,2,4,2,2,3,3,3,3,2,2,2,2,2,,,,,,0,,
788,1,1,1,32,1,2,5,,0,14,2,9,13,1,3,9,0,0,1,0,,,,,,,,,,,,-1,0,1,-2,-1,1,2,2,-2,1,0,-1,2,0,0,-1,2,0,2,2,-2,1,1,3,3,4,3,2,4,2,2,3,3,3,2,1,1,-2,0,2,,,,,,0,,
4309,1,1,1,28,1,1,4,,0,13,3,1,7,,6,2,0,0,1,0,,,,,,,,,,,,1,1,1,1,0,1,1,2,1,2,1,1,2,2,1,0,2,2,2,2,0,1,1,4,3,4,3,2,4,2,2,2,2,2,2,2,2,1,1,1,1,1,0,,1,1,0,
1832,1,1,1,25,,1,4,,0,7,6,3,4,1,4,1,0,0,1,0,,,,,,,,,,,,1,1,1,1,2,2,2,2,2,1,2,2,1,1,1,1,2,1,2,2,1,2,1,4,3,4,3,2,4,2,2,1,2,2,1,2,1,1,1,3,,,,,,0,,
3585,1,1,1,26,2,1,4,,0,7,2,1,4,2,2,3,0,0,1,0,,,,,,,,,,,,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,0,0,-2,2,0,4,3,4,3,2,4,2,0,3,3,3,3,3,2,2,2,2,,,,,,1,0,
4520,1,1,1,34,1,2,3,,3,16,4,2,2,2,6,10,1,0,1,0,,,,,,,,,,,,1,1,1,-1,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,-2,4,3,4,3,2,4,0,3,2,2,2,2,2,1,1,1,3,,,,,,0,,
3865,1,1,1,25,1,2,4,,0,2,4,2,1,1,6,3,0,0,1,1,2,0,1,1,1,1,1,1,1,0,0,1,-2,2,1,1,2,1,2,-2,2,2,0,0,-1,0,0,2,2,2,2,0,1,-1,4,3,4,3,2,4,0,2,1,0,3,1,1,-2,2,1,1,0,,,,1,1,0,
4103,1,1,1,24,1,2,3,,0,9,7,5,6,1,4,2,0,0,1,0,,,,,,,,,,,,2,2,2,1,1,1,2,2,-1,2,2,2,2,2,-2,2,2,2,2,2,-2,-2,0,4,3,4,3,2,4,0,0,3,3,3,3,3,1,2,2,3,,,,,,0,,
3441,1,1,1,36,1,2,5,,1,7,8,1,1,3,6,4,0,0,0,0,,,,,,,,,,,,1,1,2,2,1,1,1,1,0,2,2,2,-2,-1,1,1,2,1,1,1,2,-1,1,4,3,4,3,0,4,0,4,1,1,1,1,3,-2,1,1,2,,,,,,0,,
