d_carer_b,consent,willing,d_region_c_o,d_age_i,d_gender,d_edu_c_o,d_hosp_c_u,d_marital_c_u,d_chdn_i,d_job_role_c_u,d_work_unit_c_u,d_contact_freq_i,d_job_type_c_u,d_training_years_i,e_ever_worked_c_u,e_ever_cared_c_u,e_ever_contact_c_u,e_do_care_c_o,s_can_manage_c_o,s_cont_mge_c_o,s_ipc_skill_c_o,s_received_training,s_can_don_c_o,s_can_followc_o,s_can_protect_c_0,s_is_proected,s_is_straining_c_o,s_will_use_c_o,s_proto_exists_c_o,s_can_access_ppe_c_o,s_has_iso_fac,s_know_cont_c_o,s_get_supp_c_o,s_coll_follow_c_o,s_expected_i_fllw_c_o,s_enco_supp_c_o,b_manage,b_honest_manage,b_dir_interest,d_media_covid_v2,i_journals
Yes,Yes,Yes,Yaounde,24,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living alone,1,Nurse,Medical Unit,Almost every day of the month,Fulltime,< 1 year,No,Yes,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,2,2,2,1,NA
Yes,Yes,Yes,Yaounde,20,Female,First University Degree,Unlucrative private Health facility,Living alone,1,Health Assistants,Medical Unit,Almost every day of the month,Voluntary,2 to 5  years,No,No,Unsure,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,2,2,1,1,NA
Yes,Yes,Yes,Yaounde,34,Female,High School Diploma,Unlucrative private Health facility,Living with another (Married - Partnership),3,Nurse,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,No,No,No,No,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,2,2,2,1,NA
Yes,Yes,Yes,Yaounde,43,Male,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living with another (Married - Partnership),More than 5,Health Assistants,Medical Unit,Almost every day of the month,Fulltime,More than 15 years,No,No,No,No,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,2,2,2,1,NA
Yes,Yes,Yes,Yaounde,40,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living with another (Married - Partnership),More than 5,Nurse,Medical Unit,Almost every day of the month,Voluntary,More than 15 years,No,No,No,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,2,2,2,2,2,2,1,NA
Yes,Yes,Yes,Yaounde,39,Female,Other,Lucrative private health Facility,Living with another (Married - Partnership),4,Non clinical,Medical Unit,Almost every day of the month,Voluntary,2 to 5  years,Yes,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,2,2,2,2,2,2,1,NA
Yes,Yes,Yes,Yaounde,59,Male,PhD,Unlucrative private Health facility,Living with another (Married - Partnership),4,Allied health professionals,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),More than 15 years,Yes,Yes,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,2,2,2,2,2,2,1,NA
Yes,Yes,Yes,Yaounde,28,Female,High School Diploma,Lucrative private health Facility,Living alone,3,Nurse,Medical Unit,Almost every day of the month,Voluntary,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,2,2,2,-2,2,2,1,NA
NA,Yes,Yes,Yaounde,NA,NA,NA,NA,NA,0,NA,NA,Never,Long-Term Contract (>12mths),NA,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,1,-1,1,-2,-2,-2,1,NA
NA,Yes,Yes,Yaounde,35,Male,First University Degree,Lucrative private health Facility,Living alone,1,Nurse,Outpatient department,Never,Fulltime,6 to 10 years,No,No,No,No,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,1,2,2,-1,-2,-2,1,NA
NA,Yes,Yes,Yaounde,30,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,1,Nurse Assistant Clinical,Disease Control,Never,Part time,< 1 year,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,1,2,1,-2,-2,-2,1,NA
Yes,Yes,Yes,Yaounde,50,Male,PhD,Unlucrative private Health facility,Living with another (Married - Partnership),4,Allied health professionals,Outpatient department,Never,Part time,More than 15 years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,2,-1,-2,-2,-2,1,NA
NA,Yes,Yes,Yaounde,26,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,2,Non clinical,Other,Never,Casual or locum staff,2 to 5  years,No,No,No,No,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,2,1,2,-2,-2,-2,1,NA
NA,Yes,Yes,Yaounde,32,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),5,Allied health professionals,Other,No more than three days during each week,Short-term contract (< 13mths),2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,28,Female,Other,Lucrative private health Facility,Living alone,3,Nurse,Outpatient department,Almost every day of the month,Prefer not to say,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,2,2,2,-2,2,-2,1,NA
Yes,Yes,Yes,Yaounde,54,Female,High School Diploma,Lucrative private health Facility,Separated/ Divorced/ Widowed,3,Nurse,Maternity,No more than three days during each week,Fulltime,11 to 15 years,Yes,No,No,No,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,1,1,1,1,1,1,4,NA
Yes,Yes,Yes,Yaounde,25,Male,Masters,Lucrative private health Facility,Living alone,4,Medical Doctor,Medical Unit,Almost every day of the month,Fulltime,6 to 10 years,No,No,No,No,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,1,1,1,1,1,1,1,NA
Yes,Yes,Yes,Yaounde,27,Female,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),2,Nurse,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,1,2,1,-1,1,1,3,NA
Yes,Yes,Yes,Yaounde,56,Female,Masters,Lucrative private health Facility,Living with another (Married - Partnership),4,Medical Doctor,Medical Unit,Almost every day of the month,Part time,More than 15 years,No,No,Yes,No,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,2,2,2,2,2,2,1,NA
Yes,Yes,Yes,Yaounde,29,Female,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),3,Midwife,Maternity,Almost every day of the month,Fulltime,2 to 5  years,No,No,No,No,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,2,2,2,0,1,1,1,NA
Yes,Yes,Yes,Yaounde,35,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),5,Midwife,Maternity,Almost every day of the month,Fulltime,6 to 10 years,No,No,No,No,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,2,2,2,-1,1,2,1,NA
Yes,Yes,Yes,Yaounde,26,Female,High School Diploma,Lucrative private health Facility,Living alone,1,Midwife,Maternity,No more than three days during each week,Casual or locum staff,< 1 year,No,No,No,No,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,27,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),1,Midwife,Maternity,Almost every day of the month,Casual or locum staff,< 1 year,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,2,2,2,-2,1,2,1,NA
Yes,Yes,Yes,Douala,29,Female,Other,Lucrative private health Facility,Living with another (Married - Partnership),4,Nurse,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,Yes,Yes,No,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,1,1,1,-2,2,2,1,NA
Yes,Yes,Yes,Douala,30,Female,First University Degree,Unlucrative private Health facility,Living alone,1,Nurse,Outpatient department,No more than three days during each week,Long-Term Contract (>12mths),2 to 5  years,No,No,Yes,No,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,1,1,0,-2,1,1,2,NA
Yes,Yes,Yes,Douala,30,Female,Masters,Unlucrative private Health facility,Living alone,4,Allied health professionals,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,1,1,0,-2,1,1,2,NA
Yes,Yes,Yes,Douala,34,Female,First University Degree,Unlucrative private Health facility,Living alone,1,Physician Assistant,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,No,No,Yes,No,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,1,1,1,-2,1,1,2,NA
Yes,Yes,Yes,Douala,32,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living with another (Married - Partnership),3,Health Assistants,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,1,1,0,-2,1,1,2,NA
Yes,Yes,Yes,Douala,35,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),4,Nurse,Other,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,Unsure,Unsure,Unsure,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,0,1,-2,-2,-2,1,1,NA
Yes,Yes,Yes,Douala,32,Male,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),2,Nurse Assistant Clinical,Medical Unit,Almost every day of the month,Fulltime,6 to 10 years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2,2,2,2,2,2,1,NA
Yes,Yes,Yes,Douala,44,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Separated/ Divorced/ Widowed,2,Nurse,Medical Unit,Almost every day of the month,Fulltime,11 to 15 years,Yes,No,Unsure,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,0,1,-2,1,2,2,4,NA
Yes,Yes,Yes,Douala,26,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),1,Nurse,Medical Unit,No more than three days during each week,Fulltime,2 to 5  years,Yes,No,Unsure,No,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,1,1,-2,2,2,1,4,NA
Yes,Yes,Yes,Douala,39,Male,Masters,Lucrative private health Facility,Prefer not to say,2,Physician Assistant,Medical Unit,Almost every day of the month,Fulltime,2 to 5  years,Yes,Yes,Unsure,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,1,1,-2,2,2,1,3,NA
Yes,Yes,Yes,Douala,31,Male,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),3,Nurse,Medical Unit,Never,Long-Term Contract (>12mths),2 to 5  years,No,Yes,No,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2,2,2,2,-2,-2,1,NA
NA,Yes,Yes,Douala,29,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),1,Pharmacist,Medical Unit,Never,Long-Term Contract (>12mths),2 to 5  years,Yes,No,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2,2,2,-1,2,2,1,NA
Yes,Yes,Yes,Yaounde,58,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living with another (Married - Partnership),2,Allied health professionals,Medical Unit,Almost every day of the month,Fulltime,More than 15 years,Yes,Yes,Yes,Yes,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2,2,2,2,2,2,1,NA
Yes,Yes,Yes,Yaounde,34,Female,First University Degree,Unlucrative private Health facility,Living with another (Married - Partnership),5,Nurse Assistant Preventive,Medical Unit,Almost every day of the month,Prefer not to say,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,2,2,1,1,NA
Yes,Yes,Yes,Yaounde,24,Female,First University Degree,Unlucrative private Health facility,Living alone,3,Nurse,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),< 1 year,Yes,No,No,No,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,2,2,2,1,NA
Yes,NA,Yes,Yaounde,61,Female,High School Diploma,Unlucrative private Health facility,Living with another (Married - Partnership),4,Allied health professionals,Other,Almost every day of the month,Fulltime,2 to 5  years,Yes,Yes,Yes,No,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,2,2,2,2,2,2,1,NA
Yes,Yes,Yes,Yaounde,39,Female,Masters,Unlucrative private Health facility,Living alone,3,Allied health professionals,Emergency,Almost every day of the month,Long-Term Contract (>12mths),More than 15 years,Yes,No,Yes,No,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,2,2,2,1,NA
Yes,Yes,Yes,Yaounde,49,Male,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living with another (Married - Partnership),More than 5,Midwife,Medical Unit,Almost every day of the month,Prefer not to say,More than 15 years,Yes,Yes,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,2,2,1,1,NA
Yes,Yes,Yes,Yaounde,29,Male,Masters,Unlucrative private Health facility,Living alone,1,Nurse,Medical Unit,Almost every day of the month,Prefer not to say,6 to 10 years,No,No,Yes,No,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,2,2,2,1,NA
Yes,Yes,Yes,Yaounde,38,Female,First University Degree,Unlucrative private Health facility,Living with another (Married - Partnership),3,Midwife,Maternity,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,2,2,2,1,NA
Yes,NA,Yes,Yaounde,35,Female,High School Diploma,Lucrative private health Facility,Living alone,3,Nurse,Medical Unit,Almost every day of the month,Fulltime,6 to 10 years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,16,Female,Other,Lucrative private health Facility,Living alone,1,Health Assistants,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),< 1 year,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,7,NA
Yes,Yes,Yes,Yaounde,26,Female,High School Diploma,Lucrative private health Facility,Living alone,1,Nurse,Medical Unit,Almost every day of the month,Voluntary,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,2,2,2,2,2,2,1,NA
NA,Yes,Yes,Yaounde,25,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,2,Nurse Assistant Clinical,Medical Unit,Never,Fulltime,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,2,1,-1,-2,-2,-2,1,NA
NA,Yes,Yes,Yaounde,33,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),2,Nurse,Reproductive and child Health,Never,Long-Term Contract (>12mths),2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,-2,-2,-2,2,1,2,1,NA
NA,Yes,Yes,Yaounde,38,Female,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),3,Physician Assistant,Medical Unit,Never,Long-Term Contract (>12mths),2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,-2,-2,-2,-1,-2,-2,1,NA
NA,Yes,Yes,Yaounde,29,Male,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,1,Pharmacist,Outpatient department,Never,Part time,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1,2,1,-2,-2,-2,1,NA
Yes,Yes,Yes,Yaounde,26,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,1,Nurse Assistant Clinical,Medical Unit,Almost every day of the month,Prefer not to say,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,1,-2,1,2,1,NA
Yes,Yes,Yes,Yaounde,33,Female,First University Degree,Unlucrative private Health facility,Living with another (Married - Partnership),1,Nurse,Medical Unit,Almost every day of the month,Part time,6 to 10 years,No,No,No,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0,0,0,0,0,0,4,NA
Yes,Yes,Yes,Yaounde,33,Female,First University Degree,Unlucrative private Health facility,Living with another (Married - Partnership),4,Nurse,Other,Almost every day of the month,Fulltime,2 to 5  years,No,Yes,No,No,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0,0,0,0,0,0,4,NA
Yes,Yes,Yes,Yaounde,30,Female,First University Degree,Unlucrative private Health facility,Living alone,3,Nurse,Medical Unit,Almost every day of the month,Prefer not to say,< 1 year,No,No,No,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0,0,0,-2,-2,0,5,NA
Yes,Yes,Yes,Yaounde,34,Male,Masters,Unlucrative private Health facility,Living with another (Married - Partnership),4,Medical Doctor,Emergency,Almost every day of the month,Fulltime,2 to 5  years,Yes,Yes,Yes,Yes,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2,2,2,-1,-1,-1,5,NA
Yes,Yes,Yes,Yaounde,23,Female,First University Degree,Lucrative private health Facility,Living alone,More than 5,Allied health professionals,Other,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,1,1,-2,1,1,3,NA
Yes,Yes,Yes,Yaounde,26,Male,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,2,Nurse,Medical Unit,Almost every day of the month,Fulltime,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1,1,1,-2,1,1,1,NA
